text,username,timestamp
emoneyBased,nsapartyvan,"2022-10-25 22:54:00,839"
kill dat bitch 🗣️,cailou,"2022-10-25 22:54:00,839"
emoneyBased,mrdankton,"2022-10-25 22:54:00,839"
emoneyBased 󠀀,stoooby,"2022-10-25 22:54:00,839"
HELP,these_nuts25,"2022-10-25 22:54:01,035"
holy,hdevz,"2022-10-25 22:54:01,116"
RIPBOZO,guru_,"2022-10-25 22:54:01,116"
emoneyBased,denstrol,"2022-10-25 22:54:01,251"
MEGALUL where is he,jdolo8,"2022-10-25 22:54:01,332"
BasedGod,maaawds,"2022-10-25 22:54:01,576"
LimeD king shit,avoidingreality,"2022-10-25 22:54:01,769"
emoneyBased,indigoolioo,"2022-10-25 22:54:01,994"
emoneyBased fuck em,serbz_,"2022-10-25 22:54:02,244"
LimeD ..,nikpercent,"2022-10-25 22:54:02,464"
ImNotSad,mido_rma,"2022-10-25 22:54:02,540"
emoneyBased,emondawg,"2022-10-25 22:54:02,639"
emoneyBased,thisheat96,"2022-10-25 22:54:02,744"
emoneyBased,0nearrow,"2022-10-25 22:54:03,042"
LimeD,rotten_pizza,"2022-10-25 22:54:03,115"
emoneyBased,jihntei,"2022-10-25 22:54:03,190"
emoneyBased,skrubbydoo,"2022-10-25 22:54:03,395"
emoneyBased,typhloslon,"2022-10-25 22:54:03,555"
LOL,biggucciisosa1017,"2022-10-25 22:54:03,776"
HELP,shricky,"2022-10-25 22:54:03,942"
HELP,guru_,"2022-10-25 22:54:04,010"
emoneyBased,person111222,"2022-10-25 22:54:04,010"
HELP,erialaire,"2022-10-25 22:54:04,276"
emoneyBased 󠀀,ninjacat108,"2022-10-25 22:54:04,370"
emoneyBased,woweehowdy,"2022-10-25 22:54:04,575"
BasedGod 󠀀,1inthezone1,"2022-10-25 22:54:04,665"
emoneyBased,restng,"2022-10-25 22:54:04,819"
emoneyBased 󠀀,prince_johnny_,"2022-10-25 22:54:05,188"
emoneyBased,scootsterlin,"2022-10-25 22:54:05,269"
RIPBOZO,obeyno,"2022-10-25 22:54:05,269"
LimeD emoneyBased,da_meaty,"2022-10-25 22:54:05,346"
emoneyBased HOLY SHIT,xinogre,"2022-10-25 22:54:05,423"
emoneyBased,nate_scott02,"2022-10-25 22:54:05,706"
emoneyBased,zerodayzombie,"2022-10-25 22:54:05,914"
emoneyBased,scropionxking,"2022-10-25 22:54:05,993"
emoneyBased fuck em,faustus_7,"2022-10-25 22:54:05,993"
emoneyBased,fastfwdx303,"2022-10-25 22:54:06,070"
emoneyBased holy,barkor6,"2022-10-25 22:54:06,350"
emoneyBased HOLY,bugdead,"2022-10-25 22:54:06,426"
emoneyBased,vlazien,"2022-10-25 22:54:06,504"
emoneyBased dutch,aghasttundra420,"2022-10-25 22:54:06,582"
emoneyBased,bozo5621,"2022-10-25 22:54:06,698"
LimeD,prospartans,"2022-10-25 22:54:06,767"
forsenBased dutch,joobillee,"2022-10-25 22:54:06,864"
PepeLaugh,radioactiverandy,"2022-10-25 22:54:06,942"
ImNotSad,radiancedawesx,"2022-10-25 22:54:07,094"
emoneyBased,sensori,"2022-10-25 22:54:07,174"
