text,username,timestamp
Follow the twitch stream and dont forget to turn on notifications to never miss a stream!,nightbot,"2022-11-16 15:53:08,320"
yoooooo,shannonthereal,"2022-11-16 16:01:42,913"
!sub,shannonthereal,"2022-11-16 16:01:52,203"
"Subscribe for unique emotes, sub only chat, higher giveaway odds, and to get no AD's. https://www.twitch.tv/subs/adinross",nightbot,"2022-11-16 16:01:52,258"
Kappa Kappa Kappa,dazel_t,"2022-11-16 16:03:17,942"
I need someone huge dick to come and make my ass bleed,abdenrose,"2022-11-16 16:06:16,772"
W AIN,jzqzl,"2022-11-16 16:06:32,283"
W ADIN,jzqzl,"2022-11-16 16:06:35,784"
W AIDN,jzqzl,"2022-11-16 16:06:38,792"
W ADIN,jzqzl,"2022-11-16 16:06:42,721"
W STREAM,jzqzl,"2022-11-16 16:06:45,631"
L ADIN,wyay,"2022-11-16 16:06:47,236"
adin is hot,williajamesfunctionalism,"2022-11-16 16:07:31,415"
My name is Baldin aka Bald egghead,nightbot,"2022-11-16 16:07:31,585"
L WYAY,abdenrose,"2022-11-16 16:07:35,268"
one day my master will notice me,jzqzl,"2022-11-16 16:07:38,862"
wtf man PoroSad,wyay,"2022-11-16 16:07:45,118"
number 1 hottest streamer fs,williajamesfunctionalism,"2022-11-16 16:07:49,321"
AWWWW,abdenrose,"2022-11-16 16:07:49,493"
master is crazy,pztchmade,"2022-11-16 16:07:53,635"
master is insane,abdenrose,"2022-11-16 16:08:01,325"
😂😂😂,abdenrose,"2022-11-16 16:08:04,340"
wyay he in atl?,radiqolz,"2022-11-16 16:08:13,418"
@pztchmade ??? he owns me im his slave im nothing without him,jzqzl,"2022-11-16 16:08:14,845"
idk lemme track him,wyay,"2022-11-16 16:08:22,642"
?,pztchmade,"2022-11-16 16:08:23,372"
Wow…,abdenrose,"2022-11-16 16:08:27,079"
k wyay,radiqolz,"2022-11-16 16:08:27,386"
HUH,wyay,"2022-11-16 16:08:28,462"
cmonBruh,abdenrose,"2022-11-16 16:08:34,066"
wyay call him FailFish,pztchmade,"2022-11-16 16:08:37,307"
bro think this game of thrones,boatakk_,"2022-11-16 16:08:39,132"
pztch im trying to rn FailFish,wyay,"2022-11-16 16:08:45,160"
wait is he in ATLANTA WYAY,radiqolz,"2022-11-16 16:08:59,402"
whos the hottest guy streamer,williajamesfunctionalism,"2022-11-16 16:09:03,523"
"i just tracked him, he is indeed there",wyay,"2022-11-16 16:09:09,912"
OH OK,radiqolz,"2022-11-16 16:09:12,727"
thanks wyay xqcLL,radiqolz,"2022-11-16 16:09:18,827"
xqcLL,wyay,"2022-11-16 16:09:23,739"
IS HE STREAMING TODAY THOUGH,radiqolz,"2022-11-16 16:09:38,281"
Adin X Kai irl stream = 300k viewers?,abdenrose,"2022-11-16 16:09:39,223"
My name is Baldin aka Bald egghead,nightbot,"2022-11-16 16:09:39,301"
YOOOOOOOOOOOOOOOOO,williajamesfunctionalism,"2022-11-16 16:09:56,609"
Is Adin gonna go live tn,adinn2jewyy,"2022-11-16 16:10:03,248"
yo,camster,"2022-11-16 16:10:03,603"
chat,camster,"2022-11-16 16:10:08,142"
SUB UP TO AVOID ADS AND SUPPORT ADINhttps://www.twitch.tv/subs/adinross,nightbot,"2022-11-16 16:10:11,713"
Camster . Com is lit bro,abdenrose,"2022-11-16 16:10:18,875"
@camster,abdenrose,"2022-11-16 16:10:21,860"
ur not getting a SSB contract yo random ass,sahucy,"2022-11-16 16:10:24,724"
w website,wyay,"2022-11-16 16:10:24,802"
Sahucy 😭,wyay,"2022-11-16 16:10:31,420"
kaicSHOOK_SG,williajamesfunctionalism,"2022-11-16 16:10:32,558"
I nutted Atleast 27 times on there,abdenrose,"2022-11-16 16:10:33,467"
@AbdenRose naw it is bro,camster,"2022-11-16 16:10:42,658"
@camster ur a loser,imaginl0sin,"2022-11-16 16:11:02,685"
Holy fuck,imaginl0sin,"2022-11-16 16:11:05,122"
damn,wyay,"2022-11-16 16:11:10,314"
hows the wifi looking this evening,williajamesfunctionalism,"2022-11-16 16:11:17,528"
OEMGALUL,pztchmade,"2022-11-16 16:11:32,028"
OMEGALUL,pztchmade,"2022-11-16 16:11:34,698"
fuck,pztchmade,"2022-11-16 16:11:35,455"
@camster keep grinding 🔥,abdenrose,"2022-11-16 16:11:39,057"
FeelsDankMan,wyay,"2022-11-16 16:11:39,474"
OMEGALUL is crazy,abdenrose,"2022-11-16 16:11:52,358"
OMEGALUL,pztchmade,"2022-11-16 16:12:05,968"
Smh,abdenrose,"2022-11-16 16:12:18,478"
did yall get taylor swift tickets,williajamesfunctionalism,"2022-11-16 16:12:23,459"
or na,williajamesfunctionalism,"2022-11-16 16:12:28,193"
yes,wyay,"2022-11-16 16:12:34,205"
yes,pztchmade,"2022-11-16 16:12:35,681"
Uhhhh,abdenrose,"2022-11-16 16:12:39,267"
i got 2 tickets 12k each,wyay,"2022-11-16 16:12:41,598"
Wtf,abdenrose,"2022-11-16 16:12:42,559"
omg,williajamesfunctionalism,"2022-11-16 16:12:44,562"
wtf ur lucky,pztchmade,"2022-11-16 16:12:47,560"
i got 2 for 20k,pztchmade,"2022-11-16 16:12:51,583"
can i b ur plus 1,williajamesfunctionalism,"2022-11-16 16:12:56,494"
i know my resellers and shi,wyay,"2022-11-16 16:13:00,110"
bffr,williajamesfunctionalism,"2022-11-16 16:13:04,607"
yooo,sahucy,"2022-11-16 16:13:08,134"
!lastseen dlawhon0926,arise2k,"2022-11-16 16:13:17,729"
im alr going w my husband srry gang,wyay,"2022-11-16 16:13:17,729"
crying,williajamesfunctionalism,"2022-11-16 16:13:29,561"
W husband,abdenrose,"2022-11-16 16:13:30,908"
Treat him so well,abdenrose,"2022-11-16 16:13:37,280"
LOL,williajamesfunctionalism,"2022-11-16 16:13:45,833"
I do :),wyay,"2022-11-16 16:13:46,102"
"WYAY, cmonBrug",ant_k,"2022-11-16 16:13:46,684"
Ant cmonBrug ❓,wyay,"2022-11-16 16:13:51,900"
sup thug,ant_k,"2022-11-16 16:13:55,692"
wsg king,wyay,"2022-11-16 16:14:01,732"
