text,username,timestamp
aliniiiity,itcamefromit,"2022-11-16 15:40:26,259"
D: D: D:,stryderrx,"2022-11-16 15:40:26,627"
GIGACHAD,zeusyboy01,"2022-11-16 15:40:27,142"
monka,rresonance,"2022-11-16 15:40:27,307"
monkaW,fleener,"2022-11-16 15:40:27,307"
RIPBOZO,floatixx,"2022-11-16 15:40:27,385"
it's amazing how much angrier you sound saying cunt than even us english people,alasdair,"2022-11-16 15:40:27,397"
so weird your overreactions,kenji173,"2022-11-16 15:40:27,397"
shut up 4Weird,retarcl,"2022-11-16 15:40:27,552"
D:D:,quasar1,"2022-11-16 15:40:27,552"
way to much coffee,ho77sauce,"2022-11-16 15:40:27,552"
RIP,daha_niffer,"2022-11-16 15:40:27,707"
Clap get 'em,danman_710,"2022-11-16 15:40:27,720"
hide,clivent,"2022-11-16 15:40:27,720"
YEAH,hybridxdeni,"2022-11-16 15:40:27,800"
Yes Mommy,xiwavy,"2022-11-16 15:40:27,877"
Kreygasm,gorillamarketing_,"2022-11-16 15:40:28,168"
R OMEGALUL LLED,ludzxx,"2022-11-16 15:40:28,324"
say it Ez,shineiam,"2022-11-16 15:40:28,364"
EZ,cuttyriver420,"2022-11-16 15:40:28,909"
D:,4ores7,"2022-11-16 15:40:28,986"
RIPBOZO,f1nk1tyy,"2022-11-16 15:40:29,094"
BloodTrail,ospeli,"2022-11-16 15:40:29,094"
RIPBOZO,neejohh,"2022-11-16 15:40:29,094"
D:,neo_ta,"2022-11-16 15:40:29,169"
I would have boned Snooki,silverjoystixx,"2022-11-16 15:40:29,169"
love you natila,suddengamer88,"2022-11-16 15:40:29,248"
BEING A BIG SAMMY,buddays,"2022-11-16 15:40:29,248"
KEEP TALKING :),dangerousspread,"2022-11-16 15:40:29,360"
W,thewtro,"2022-11-16 15:40:29,449"
get em,swagforsale,"2022-11-16 15:40:29,835"
KEKW,mrsuicidemuffin27,"2022-11-16 15:40:29,912"
alinity is on jersey shore Pog,benlawl,"2022-11-16 15:40:29,989"
yes mommy,igallaxii,"2022-11-16 15:40:29,989"
shut me up mommas :),rayy_wr,"2022-11-16 15:40:29,989"
tell em queeeeen,starfragmint,"2022-11-16 15:40:30,312"
DonkSass,tyrannowreks,"2022-11-16 15:40:30,371"
what's up with the unhinged chatters today? HUH,noahtoh,"2022-11-16 15:40:30,371"
thats what you think,doedgraevarn,"2022-11-16 15:40:30,603"
omg another pause,revangel10n,"2022-11-16 15:40:30,755"
ac7ionSlam,cahviar,"2022-11-16 15:40:30,913"
lol,beemcg,"2022-11-16 15:40:30,913"
D: C Whoa alinity,p1nguinbro,"2022-11-16 15:40:30,913"
❤️👸👸👸😍😍😍😍,tony_12445,"2022-11-16 15:40:31,235"
4Weird ALINITY,hiddeninshroudv2,"2022-11-16 15:40:31,334"
meow,marvanga,"2022-11-16 15:40:31,481"
Clap,megaledon,"2022-11-16 15:40:31,481"
everyone hide,clivent,"2022-11-16 15:40:31,481"
LUL,photon_eater,"2022-11-16 15:40:31,481"
E G OMEGALUL,gostnoh,"2022-11-16 15:40:31,557"
GET HER ALINITY,phakta,"2022-11-16 15:40:31,557"
you tell him :),foolishpete,"2022-11-16 15:40:31,728"
power tripping kekL,a_shiny_gengar,"2022-11-16 15:40:31,756"
power abuse,supersaiyanabel13,"2022-11-16 15:40:31,834"
D:  bully,low_keys,"2022-11-16 15:40:32,019"
damn girl,space00man,"2022-11-16 15:40:32,204"
alinity has all the powers yo,majin_ian,"2022-11-16 15:40:32,358"
RIPBOZO,gravyonmayo,"2022-11-16 15:40:32,558"
too sexy,zenells,"2022-11-16 15:40:32,706"
you tell em,miah_haim,"2022-11-16 15:40:32,835"
@Alinity  looks like they made 40k per season till season 3 each.,coffeecupstv,"2022-11-16 15:40:32,835"
RIP RIPBOZO,daha_niffer,"2022-11-16 15:40:33,513"
LUL,cafrowl,"2022-11-16 15:40:33,815"
@Alinity HAHAHA ILY,darkzau,"2022-11-16 15:40:33,895"
monkaLaugh,jojo4esta,"2022-11-16 15:40:33,988"
lulw,space00man,"2022-11-16 15:40:34,374"
monkaLaugh,lowpolybreakfast,"2022-11-16 15:40:34,654"
go go granny,ruitassuncao,"2022-11-16 15:40:34,745"
W,vibewithjude,"2022-11-16 15:40:34,745"
deserved EZ Clap,lady_sarcasm,"2022-11-16 15:40:34,900"
peepoChat,idgtviirus,"2022-11-16 15:40:34,948"
HYPERCLAP HYPERCLAP HYPERCLAP,sarimner,"2022-11-16 15:40:35,037"
U tell him,kidgibwasteken1,"2022-11-16 15:40:35,217"
And you say you are not scary?,chumgu22ler,"2022-11-16 15:40:35,376"
DRINK HIS BLOOD QUEEN,bread1804,"2022-11-16 15:40:35,607"
PepeLa,commodore_84,"2022-11-16 15:52:11,030"
its a lincoln IDIOT,bread1804,"2022-11-16 15:52:11,529"
HAHHA,bishopbones,"2022-11-16 15:52:11,616"
lol,darnaciouswashington,"2022-11-16 15:52:12,064"
PepeLaugh nope,sirblexington,"2022-11-16 15:52:12,937"
queeen come back,pkrpl8r_420,"2022-11-16 15:52:13,260"
Kappa,f1nk1tyy,"2022-11-16 15:52:13,337"
KEKW,raburn,"2022-11-16 15:52:13,458"
its a lincoln but whatever,quick___bricks,"2022-11-16 15:52:13,768"
Clueless,mrgeriatric,"2022-11-16 15:52:14,338"
SOO DUMB LOL,clivent,"2022-11-16 15:52:15,783"
Clueless,wideboomerhappy,"2022-11-16 15:52:15,938"
LUL,love4am,"2022-11-16 15:52:16,216"
PepeLaugh,pinche_zeke,"2022-11-16 15:52:16,414"
LOL,chrisreams08,"2022-11-16 15:52:17,017"
SteerR,swiper2424,"2022-11-16 15:52:17,462"
PepeLaugh,jr_ont,"2022-11-16 15:52:18,038"
they're so drunk,benlawl,"2022-11-16 15:52:19,651"
OMEGALUL,bo8rix,"2022-11-16 15:52:20,296"
Pepelaugh,bezzarx1738,"2022-11-16 15:52:20,574"
EZ,dukeoffear,"2022-11-16 15:52:21,273"
huh,kazeshi,"2022-11-16 15:52:21,358"
this is perfect,chrisreams08,"2022-11-16 15:52:21,436"
EZ,logicalforce,"2022-11-16 15:52:21,929"
HUH,ayyrie,"2022-11-16 15:52:22,422"
monkaS,seany_37,"2022-11-16 15:52:22,699"
LMAOOO,bishopbones,"2022-11-16 15:52:22,930"
Clueless,thewarrioroneal,"2022-11-16 15:52:23,334"
CLASSY,bengriff,"2022-11-16 15:52:24,684"
uyh....wow,raburn,"2022-11-16 15:52:26,238"
LOLLLL,megaledon,"2022-11-16 15:52:26,407"
WOT,commandedtosub,"2022-11-16 15:52:26,486"
BOOBA,leeayzahn,"2022-11-16 15:52:26,564"
LOL,destroyvader,"2022-11-16 15:52:26,564"
WTF LOL,cocainn,"2022-11-16 15:52:27,145"
LOL,existentialism123,"2022-11-16 15:52:27,240"
HUH,floatixx,"2022-11-16 15:52:27,893"
EZ,jojo4esta,"2022-11-16 15:52:28,054"
i can literally,lum0x33,"2022-11-16 15:52:28,500"
"oh, woooooooow",cirro_cld,"2022-11-16 15:52:28,579"
uhhh wow... lol,zalg0,"2022-11-16 15:52:28,917"
lol,weirdoflix,"2022-11-16 15:52:28,946"
KEKW,lowpolybreakfast,"2022-11-16 15:52:29,070"
dahmer monkaW,aoc_bae,"2022-11-16 15:52:29,070"
my man,thewaterbear39,"2022-11-16 15:52:29,285"
they cant look out the window,necesi7o,"2022-11-16 15:52:29,641"
KEKW,c3n50r807i,"2022-11-16 15:52:29,797"
Snooki NOPERS,promnightmistake,"2022-11-16 15:52:30,007"
