text,username,timestamp
THE EX PRIMEMINSTER OF ENGLAND,rinsablebard,"2022-11-05 13:20:06,035"
linda <3,antoniaispissed,"2022-11-05 13:20:06,343"
"Fak u Swaiden, small pp kauntry",fredensberg,"2022-11-05 13:21:53,934"
AMONG US,hn0_3,"2022-11-05 13:21:57,882"
Hello again Linda,rfc_lime,"2022-11-05 13:21:57,882"
RIP TAKEOFF 🛫🛫,samuraiplus12221,"2022-11-05 13:22:00,473"
Linda Krankenwagen,hansgelenkig,"2022-11-05 13:22:01,333"
OPEN CASES,vibez_kardon,"2022-11-05 13:22:02,588"
hi linda,antoniaispissed,"2022-11-05 13:22:02,973"
Kitten,itaannlbrickmaster,"2022-11-05 13:22:04,822"
when is next game?,angel91k,"2022-11-05 13:22:05,740"
LINDA!,hooorale,"2022-11-05 13:22:11,294"
...,never_trust_a_duck,"2022-11-05 13:22:13,834"
TJENA,hooorale,"2022-11-05 13:22:14,065"
helo blyad,karma6666,"2022-11-05 13:22:17,195"
ew,poguechempe,"2022-11-05 13:22:19,968"
WutFace,m3tso,"2022-11-05 13:22:20,661"
armpit ??,hn0_3,"2022-11-05 13:22:22,605"
Linda Caseopening BabyRage,sheezfx,"2022-11-05 13:22:22,912"
SNIFFA,misteer_man,"2022-11-05 13:22:26,043"
hi guys,logoqp1,"2022-11-05 13:22:27,814"
where did you buy those ice creams tho linda qbunnyWow,whilstanpjr,"2022-11-05 13:22:31,632"
welcome back linda,v4b3n,"2022-11-05 13:22:32,055"
anomSad linda didnt sold,mabgames1337,"2022-11-05 13:22:33,367"
BRB XEZW,hn0_3,"2022-11-05 13:22:35,818"
you sound depresssed linda,fycckk,"2022-11-05 13:22:35,973"
omg anomly is getting out of home,poguechempe,"2022-11-05 13:22:45,150"
Like I snys?,fredensberg,"2022-11-05 13:22:46,244"
linda sell desert hydra,logoqp1,"2022-11-05 13:22:56,552"
linda sell number 1 skins to steam marketplace,m3tso,"2022-11-05 13:23:07,676"
hejdå,haggelino,"2022-11-05 13:23:09,856"
allowed to leave home by himself?,bigdaddybort,"2022-11-05 13:23:12,228"
anomaly you ae a gay fucking cum slut,magi12,"2022-11-05 13:23:12,383"
WE ARE!!,rfc_lime,"2022-11-05 13:23:16,195"
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,fittkappe,"2022-11-05 13:23:17,826"
giving me cocaine xD,poguechempe,"2022-11-05 13:23:19,052"
helloo,mihaela18,"2022-11-05 13:23:20,138"
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,rfc_lime,"2022-11-05 13:23:20,370"
LINDAAAAAAAA,gr0v3_str33t_4_lif3,"2022-11-05 13:23:20,986"
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,lemattixd,"2022-11-05 13:23:21,449"
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 󠀀,rfc_lime,"2022-11-05 13:23:21,449"
