text,username,timestamp
"So is gonna win the final with 4,5-2,5, putting my virtual 10 moneyz on it.",vadgeena42,"2022-11-05 13:20:03,862"
Lookin rough for Nihal rn sadge :(,joeythedrunk,"2022-11-05 13:22:04,822"
"@smokeeye_ ya I'm not gonna report them just for begging , or calling me names, or we already discussed and agree to disagree whatever etc",qtjelly,"2022-11-05 13:22:07,467"
"Yeah, i think the issue with toxic spam and abuse in whispers is more about age than sub/pleb in general",vadgeena42,"2022-11-05 13:22:07,840"
BONGCLOUD SPEEDRUN MERCH!!!! Limited Time! https://merch.streamlabs.com/gmhikaru/merch,moobot,"2022-11-05 13:22:08,339"
omg,sulky118,"2022-11-05 13:22:31,286"
what in the world just happened,david_dm5,"2022-11-05 13:22:38,930"
@vadgeena42 agreed,joeythedrunk,"2022-11-05 13:22:39,731"
Oh wow,donbmcgee,"2022-11-05 13:22:39,731"
Sadge,drecandy13,"2022-11-05 13:22:41,519"
Oh no :( My heart cant take both a Hikaru and ANish loss :(,vadgeena42,"2022-11-05 13:22:47,337"
:O,joeythedrunk,"2022-11-05 13:22:47,981"
LETS GO NIHAL,joeythedrunk,"2022-11-05 13:22:55,934"
COME ONNN,tafe13,"2022-11-05 13:22:58,913"
NIHAAAALLL,tafe13,"2022-11-05 13:23:03,423"
"hikaru washed, no surprise",tehceebs,"2022-11-05 13:23:06,134"
"Thanks for subscribing for 3 months, @steven_jouanny HeyGuys",moobot,"2022-11-05 13:23:06,518"
Poggies Nihal,tom__war,"2022-11-05 13:23:10,474"
The final nobody expected,donbmcgee,"2022-11-05 13:23:12,074"
I called Nihal too,qtjelly,"2022-11-05 13:23:16,104"
Nihal GIGACHAD,joeythedrunk,"2022-11-05 13:23:19,849"
My son,tafe13,"2022-11-05 13:23:20,030"
same,smokeeye_,"2022-11-05 13:23:24,821"
LETS GOOOOOO,tafe13,"2022-11-05 13:23:24,821"
Sadge,turnipswagger,"2022-11-05 13:23:29,017"
LETS GOOOOOOOO,tafe13,"2022-11-05 13:23:29,920"
Anish :(,chaedoc,"2022-11-05 13:23:31,666"
NEVER RESIGN,ebd1992,"2022-11-05 13:23:53,239"
"@qtjelly LOL we did run one oops, Sarin had 19% of the vote",creamsicle,"2022-11-05 13:26:12,564"
Check out this clip!! Fabiano's Controversial Accusation - youtu.be/JlqLLyaAb0w,moobot,"2022-11-05 13:26:13,203"
GG Clap,croono,"2022-11-05 13:26:22,261"
well GOAT'd in general but extra nasty online lol,joeythedrunk,"2022-11-05 13:26:27,128"
Betting farm on Wesley,kenowc,"2022-11-05 13:26:37,491"
@Creamsicle omg am I that drunk or it was super fast? Idk but I didn't see it at all. I would have slammed that one at 19% omg,qtjelly,"2022-11-05 13:27:24,975"
"SUPER GREAT commentary today, guys!",hip_gecko,"2022-11-05 13:27:39,989"
@Creamsicle I didnt see it either tbh,joeythedrunk,"2022-11-05 13:27:48,175"
Like literally instant 250K on that one if I had seen it,qtjelly,"2022-11-05 13:27:54,604"
Let Bok tok,kenowc,"2022-11-05 13:28:00,766"
@JoeyTheDrunk @qtjelly yeah oops we ran it right after it started sorry <3 forgot beforehand,creamsicle,"2022-11-05 13:28:10,104"
must have been a quick one while I was catching up my shots,qtjelly,"2022-11-05 13:28:19,045"
BONGCLOUD SPEEDRUN MERCH!!!! Limited Time! https://merch.streamlabs.com/gmhikaru/merch,moobot,"2022-11-05 13:28:19,276"
@Creamsicle no worries :),joeythedrunk,"2022-11-05 13:28:23,838"
did hikaru come on already?,konurab,"2022-11-05 13:28:27,577"
all good tho no worries,qtjelly,"2022-11-05 13:28:39,518"
Seeya friends <3 More games tomorrow even if our man isn't in em,creamsicle,"2022-11-05 13:28:40,026"
Bye!,croono,"2022-11-05 13:28:46,028"
He’s busy packing his bags,donbmcgee,"2022-11-05 13:28:48,068"
See yall tomorrow!,joeythedrunk,"2022-11-05 13:28:53,587"
No interview?,bensbr0,"2022-11-05 13:29:20,517"
nakamuraSpinHeart,highcue,"2022-11-05 13:37:58,158"
"Subscribe here to support me, enjoy my emotes and avoid ads -> https://www.twitch.tv/products/gmhikaru",moobot,"2022-11-05 13:37:58,210"
"Thank you for subscribing, @vinssbu! :D",moobot,"2022-11-05 14:14:07,816"
!discord,vinssbu,"2022-11-05 14:14:34,678"
"@vinssbu Hikaru's Discord is called ""Naka's PogUniversity"" - click here https://discord.gg/aeaqK6g and connect it with your Twitch to see subscriber only channels",moobot,"2022-11-05 14:14:34,908"
