text,username,timestamp
If u haven't seen Iron Giant you missing out on a really good movie BibleThump,killer_pickle,"2022-11-16 15:44:40,091"
pepeBASS,shadowbounty,"2022-11-16 15:44:42,438"
"lirik use the side attack in the air, you will love it",elektrokills,"2022-11-16 15:44:43,881"
"@sam_brick other games man, and lirik stopped playing it i guess too, same happened to me LUL",dexashmexa,"2022-11-16 15:46:27,469"
@sam_brick so many options on pc,din6alin9,"2022-11-16 15:46:38,448"
"it looks like all his moves are ""mistakenly"" hitting the enemies while he does a task LUL",boedean,"2022-11-16 15:46:40,329"
PauseChamp,alejan2ro,"2022-11-16 15:46:44,507"
LBAT,hermitmonk,"2022-11-16 15:46:46,835"
"@sam_brick yeah. i think new content was taking too long, and season 1 was kinda disappointing, maybe i'll come back to it now",sam_brick,"2022-11-16 15:46:48,084"
why are you playing iron giant?,spitfire0016,"2022-11-16 15:47:00,398"
That was the quinn player from last game,aa_twelve,"2022-11-16 15:47:06,346"
this game desperately needs new music,lordshelly,"2022-11-16 15:47:10,128"
justice monkaW,hammerwow,"2022-11-16 15:47:11,684"
peepoWASH clean the floor with them,alejan2ro,"2022-11-16 15:47:11,994"
pepeD,hiddenbladesupreme,"2022-11-16 15:52:10,953"
probably cause he already has it,nannonaut,"2022-11-16 15:52:14,707"
!vote osrs KEKW,hammerwow,"2022-11-16 15:52:16,938"
pepeD,truee,"2022-11-16 15:52:19,866"
HahaCat,itsjust_faye,"2022-11-16 15:52:40,499"
KEKW,chofi0007,"2022-11-16 15:52:43,702"
ShaggyVersus is so nice,jookpiment,"2022-11-16 15:52:46,396"
shaggy shaggy every day i guess Hmm,alejan2ro,"2022-11-16 15:52:46,460"
@Z4_vox FeelsBadMan,hexicallive,"2022-11-16 15:52:54,265"
AAAA,jb120hz,"2022-11-16 15:53:00,546"
REEEEE,kaezar9,"2022-11-16 15:53:04,064"
chat is lit,jb120hz,"2022-11-16 15:53:08,319"
CATW,kaezar9,"2022-11-16 15:56:51,918"
MYAAA AAA,alejan2ro,"2022-11-16 15:56:57,650"
CATW,papalotapuss,"2022-11-16 15:57:00,432"
never seen shroud and lirik bellow 10k,svarogog,"2022-11-16 15:57:03,403"
leading PauseChamp,hammerwow,"2022-11-16 15:57:03,495"
PauseChamp winnable,salt_mix,"2022-11-16 15:57:07,487"
KEKLEO winable,alejan2ro,"2022-11-16 15:57:15,059"
lul nice duo,thepurpleweed,"2022-11-16 15:57:28,422"
