text,username,timestamp
LUL,captainsarcasm__,"2022-11-05 13:21:47,676"
tfueWTF tfueWTF tfueWTF tfueWTF,ciincinnati,"2022-11-05 13:21:49,619"
MOM GET THE CAMERA ITS TUFO,bobofoxx,"2022-11-05 13:21:51,467"
riggity wrecked son,ig_trebbblemaker,"2022-11-05 13:21:52,085"
shit on,ghostdragon21112,"2022-11-05 13:21:52,162"
D:,evster3,"2022-11-05 13:21:52,276"
aww hahah,therealestnr,"2022-11-05 13:21:52,345"
BLACK MOULD BRAINS LULW,bea1z,"2022-11-05 13:21:52,857"
BAHAHAHHAA,cookiecaps,"2022-11-05 13:21:54,922"
LUL,kojak_x,"2022-11-05 13:21:56,957"
"nice one, Zemie",hillaryclintonemails,"2022-11-05 13:21:56,957"
Oh my the lasar,mistrcruffington,"2022-11-05 13:21:57,650"
loool,zachxc48,"2022-11-05 13:21:57,959"
loooool,whaddup_homie,"2022-11-05 13:21:58,500"
LUL,itzwahoo,"2022-11-05 13:21:59,536"
absolutely decimated,itz_gatsu,"2022-11-05 13:22:02,819"
that was a low blow lololol,whaddup_homie,"2022-11-05 13:22:03,380"
monkaLaugh BeerTime,captainsarcasm__,"2022-11-05 13:22:07,797"
brains brown and green.. middle school haha really? noo,therealestnr,"2022-11-05 13:22:08,858"
Tfue 4 kills whole squad,ofkeli,"2022-11-05 13:22:13,448"
"""did you really"" KEKW",boggr7,"2022-11-05 13:22:14,939"
I mean shit Fuck algebra,spr1ngst33n,"2022-11-05 13:22:15,911"
back to the lobby bozos,freydoo,"2022-11-05 13:22:16,656"
tfueFEELSBAD,ciincinnati,"2022-11-05 13:22:16,733"
he got them so good they unistalled,genosite666,"2022-11-05 13:22:20,277"
"""did you really?""",mynamea_jeff,"2022-11-05 13:22:23,143"
lmaooo,mynamea_jeff,"2022-11-05 13:22:25,272"
"Prospering, “did you really”?? tfueHIGH",yoemahmuh,"2022-11-05 13:22:28,712"
Tfue's shit talking is top tier,kojak_x,"2022-11-05 13:22:29,330"
Lol,mistrcruffington,"2022-11-05 13:22:39,264"
dinkDonk,captainsarcasm__,"2022-11-05 13:22:40,194"
BOP,evster3,"2022-11-05 13:22:42,042"
True,vourbaky,"2022-11-05 13:22:42,273"
lol,zachxc48,"2022-11-05 13:22:43,489"
Zemie is a trash can tfue dick rider he actually is terrible,matt_combes,"2022-11-05 13:22:44,381"
Boop,spr1ngst33n,"2022-11-05 13:22:45,073"
-5k,boggr7,"2022-11-05 13:22:50,270"
tfueRAGE tfueRAGE tfueRAGE,liquidmilk35,"2022-11-05 13:22:54,786"
-5K,kojak_x,"2022-11-05 13:22:56,320"
Zemie all that education and hes playin video games,bh_tres,"2022-11-05 13:22:56,397"
@Kojak_x it helps my erectile disfunction,bea1z,"2022-11-05 13:22:57,014"
# 1 zero build player world fight me,paintclapper,"2022-11-05 13:22:59,720"
Stupid pleb,kojak_x,"2022-11-05 13:23:01,235"
@kojak_x funny af for no reason LUL,itz_gatsu,"2022-11-05 13:23:05,747"
@matt_combes fuck u puh-c,spr1ngst33n,"2022-11-05 13:23:06,827"
-5k lol,toastedhope,"2022-11-05 13:23:07,212"
"Doesn’t matter if tfue dropped out of kindergarten, dude still makes more than you’ll ever make tfueHIGH tfueHIGH tfueHIGH",yoemahmuh,"2022-11-05 13:23:15,652"
@matt_combes mods,captainsarcasm__,"2022-11-05 13:23:16,284"
@bea1z Kreygasm,kojak_x,"2022-11-05 13:23:17,131"
lol,headshotamust,"2022-11-05 13:23:19,332"
@matt_combes  -5k loser,copez15,"2022-11-05 13:23:23,886"
OpieOP show food,hugeknocker,"2022-11-05 13:23:27,351"
!earnings,imkakashy,"2022-11-05 13:23:33,891"
@Kojak_x KappaPride,bea1z,"2022-11-05 13:23:33,968"
OpieOP describe taste,hugeknocker,"2022-11-05 13:23:35,538"
da bush,casual_dubs,"2022-11-05 13:23:37,217"
@itz_Gatsu it's so random it's funny,kojak_x,"2022-11-05 13:23:37,217"
imagine watching enough to get 5k to say that LUL,itz_gatsu,"2022-11-05 13:23:39,867"
imagine being a pleb -5k,twennybux,"2022-11-05 13:23:42,936"
-5k,theanonzombie,"2022-11-05 13:23:46,060"
tell me theres jalapenos in there at least..,paintclapper,"2022-11-05 13:23:47,372"
oh shi,copez15,"2022-11-05 13:23:48,420"
-5k to talk shit that nobody cares ab. ty come again,valarjd,"2022-11-05 13:23:49,431"
@casual_dubs 2020Forward,tooboredd,"2022-11-05 13:26:10,124"
@itz_Gatsu the minis LULW,bea1z,"2022-11-05 13:26:12,279"
@CaptainSarcasm__ true should be like 7500 at least right,twelvebrains,"2022-11-05 13:26:20,011"
