text,username,timestamp
She’s right but the comms could be better aswell I guess,lukeburnz,"2022-11-16 15:44:38,317"
"but yeah, they are definitely doing more driving and not enough strategizing",higheist,"2022-11-16 15:44:38,331"
"Also it's better to work on teamwork directions to be better at it when it matters in ""the run"" too, so restarting there is just not what you should be doing",renvil,"2022-11-16 15:44:44,883"
30h+ stream Pog,jasseri,"2022-11-16 15:52:15,553"
D14 today!!!,shadeycam,"2022-11-16 15:52:17,217"
he is getting d14 today,gamer_girl_bath_water2,"2022-11-16 15:52:18,245"
@lionel696969 +1,fridgefr33zer,"2022-11-16 15:52:19,739"
did we pb today chat? PauseChamp,ich_bin_kk,"2022-11-16 15:52:26,158"
"I think Maji just saying ""move backwards-left"" or w/e is the best shot",naret03,"2022-11-16 15:52:26,407"
Looking forward to wirtuSunny again with the tower map,monochromeocean,"2022-11-16 15:52:27,710"
its cotd+6,chipongo,"2022-11-16 15:52:28,578"
this seems annoying as,wizardsofink,"2022-11-16 15:52:37,139"
@MonochromeOcean Chatting its winter there is no sun,santim24,"2022-11-16 15:52:49,087"
so why are we doing this and not d14 if deadline is tomorrow?,younameit_,"2022-11-16 15:52:49,171"
surely,solidmemer,"2022-11-16 15:52:54,780"
this is basically rally,brutal_cookiez,"2022-11-16 15:52:58,554"
@Wirtual you could letter the walls and number the corners,kaiidaa,"2022-11-16 15:53:00,152"
just say the orientation like a time: 3 o clock,othever,"2022-11-16 15:53:02,584"
you'll get it,wizardsofink,"2022-11-16 15:56:50,147"
understatement of the year,obeseduck69_,"2022-11-16 15:56:50,776"
this is fucking pepayga central,solidmemer,"2022-11-16 15:56:59,461"
mods PETPET,okense,"2022-11-16 15:56:59,538"
3 left over bump,brutal_cookiez,"2022-11-16 15:57:06,836"
Was not trying to be offensive😅,jaijaia,"2022-11-16 15:57:08,695"
right long,brutal_cookiez,"2022-11-16 15:57:20,268"
SAMIR,brutal_cookiez,"2022-11-16 15:57:26,126"
YOU'RE BREAKING THE CAR,brutal_cookiez,"2022-11-16 15:57:30,523"
5 right tightens to 3 Left,thestep,"2022-11-16 15:57:36,273"
KEKL,godspeedxan,"2022-11-16 15:57:41,266"
@jaijaia you were speaking facts Prayge,willemboy25,"2022-11-16 15:57:48,447"
u need surround headphones for that KEKW,ssanolive,"2022-11-16 15:57:49,213"
"I'm so lost, what is happening?",xinzocs,"2022-11-16 15:57:53,300"
samir OMEGADANCE,stylante,"2022-11-16 15:57:54,156"
OMEGALUL,brutal_cookiez,"2022-11-16 15:58:02,252"
can you not play in cam 1? havent been here long,solidmemer,"2022-11-16 15:58:11,539"
why dont you practise the shortcut?,broiiler,"2022-11-16 15:58:26,343"
So cheating Kappa,xinzocs,"2022-11-16 15:58:31,231"
theyre basically cheating,godspeedxan,"2022-11-16 15:58:31,231"
@willemboy25 right?😅,jaijaia,"2022-11-16 15:58:40,135"
true,lionel696969,"2022-11-16 15:58:40,778"
Is that cheating? Lol,modal_1,"2022-11-16 15:58:41,145"
can u Show shortcut in cam 7 once,aeskl4,"2022-11-16 15:58:43,158"
no,hatchet302,"2022-11-16 15:58:46,075"
did he get d14 wr,breadlicker445,"2022-11-16 15:58:49,308"
"nice water bottle, what brand is it?",cactus__chan,"2022-11-16 15:58:50,613"
are you not allowed to watch majis stream?,nostalgier,"2022-11-16 15:58:51,532"
pulling a wirtual,valerio215,"2022-11-16 15:58:51,960"
not cheating. it’s called strategic planning,gamer_girl_bath_water2,"2022-11-16 15:58:52,481"
wirtWheel wirtSmile,turnonmind,"2022-11-16 15:58:53,812"
do it,wizardsofink,"2022-11-16 15:58:57,259"
cya fellers,bob_the_jedi_,"2022-11-16 15:59:02,620"
cant you just spectate yourself?,hoopyfrood12,"2022-11-16 15:59:03,494"
I would definately call it teamworking rather than cheating,sephosen,"2022-11-16 15:59:03,893"
@BigDinger_,panimioul,"2022-11-16 15:59:07,987"
Maji should say when to airbrake when you flip,pitrak2x,"2022-11-16 15:59:09,350"
@breadlicker445 no,gamer_girl_bath_water2,"2022-11-16 15:59:13,081"
cam 7 it first???,lionel696969,"2022-11-16 15:59:13,820"
there's literally a map that's built around this strategy. It's perfectly legal,hatchet302,"2022-11-16 15:59:15,352"
@breadlicker445 Imagine if he did,monochromeocean,"2022-11-16 15:59:16,516"
@pitrak2x too precise for voice delay,ssanolive,"2022-11-16 15:59:24,163"
Chatting,brutal_cookiez,"2022-11-16 15:59:38,368"
"@broiiler he did, but its tough to get it consistent kinda fast, and he has not much time for that, because of D14 and the tower stuff tomorrow evening",trackedninja,"2022-11-16 15:59:38,586"
@hoopyfrood12 thats what im thinking the whole time,fiiiiiinnzz,"2022-11-16 15:59:40,978"
So what you’re telling me is you’re receiving external information that you otherwise wouldn’t have access to…. Kappa,bladezandrew,"2022-11-16 15:59:42,219"
FAST,brutal_cookiez,"2022-11-16 15:59:43,046"
HUH,ich_bin_kk,"2022-11-16 15:59:45,606"
"i will honestly, im disgusted",solidmemer,"2022-11-16 15:59:45,974"
WICKED,bassttv,"2022-11-16 15:59:46,266"
Huge boost,the_oli4,"2022-11-16 15:59:47,184"
dont worry about it. i already informed the fbi.,kunivaaaa,"2022-11-16 15:59:47,368"
as if it was legit? so you are not being legint right now? sketchy....,tet_50,"2022-11-16 15:59:47,552"
WTF OMEGALUL,brutal_cookiez,"2022-11-16 15:59:48,196"
LMAO,goldwindd,"2022-11-16 15:59:48,207"
bro,phantomzerocore,"2022-11-16 15:59:48,764"
i'm reporting you for this one instead,kem_,"2022-11-16 15:59:50,008"
now that was cheating HUH,barney_lol,"2022-11-16 15:59:50,405"
