text,username,timestamp
@BlishBlash everyone should play that game,stairmaster_,"2022-10-25 22:54:01,906"
"nah they're dumb
""
",cocotangent,"2022-10-25 22:54:02,082"
"she's a waifu material
""
",ashora1_,"2022-10-25 22:54:03,301"
@MarzTheBean IS THAT YOUR TAKEAWAY KEKW,pendragwn,"2022-10-25 22:54:04,597"
relatable,someguynamedbrad,"2022-10-25 22:54:04,742"
hehe,naiko_32,"2022-10-25 22:54:05,220"
"She knows, he doesn't.
""
",jadedfont,"2022-10-25 22:54:05,585"
they know,danii6speed,"2022-10-25 22:54:06,813"
"WTF he's beyo father?
""
",gricekiti,"2022-10-25 22:54:07,112"
"He's under the influence so to speak
""
",gamer0326,"2022-10-25 22:54:07,862"
SEPHIROTH,monte6482,"2022-10-25 22:54:08,269"
"they don't know
""
",1nklngmain,"2022-10-25 22:54:08,631"
what is Sephiroth doing here,psoto130,"2022-10-25 22:54:10,142"
bayonetta is indulging in fatherless behavior,ohgeez_rick_,"2022-10-25 22:54:11,245"
Time nonsense.,metal_madlad,"2022-10-25 22:54:11,724"
haha balder,kapetiz,"2022-10-25 22:54:12,380"
good luck,qwertz143,"2022-10-25 22:54:12,458"
oh woah u just spoiled it for me pinkshCrying,ihxcked,"2022-10-25 22:54:13,406"
"they don't know yet
""
",gundam_08th,"2022-10-25 22:54:14,592"
"Baldur's Gate
""
",statix3d,"2022-10-25 22:54:14,975"
"He doesn't, she does
""
",saint_of_squids,"2022-10-25 22:54:15,896"
the white duke,hustle_bonez_,"2022-10-25 22:54:17,361"
DAVID BOWIE LOLL,dee_elfie,"2022-10-25 22:54:18,722"
🧐🧐🧐🧐,voel_808,"2022-10-25 22:54:19,302"
she does know,danii6speed,"2022-10-25 22:54:19,605"
she knows he doesnt,silvestrez97,"2022-10-25 22:54:19,943"
OH WAS HE PULLED FROM THE PAST,queankatt,"2022-10-25 22:54:20,871"
( Bayo Logic  ),goldenkappa_witness,"2022-10-25 22:54:21,496"
hes younger here,therealestfe,"2022-10-25 22:54:22,797"
she knows he does not,papafranku863,"2022-10-25 22:54:22,874"
omg i love this game,ashora1_,"2022-10-25 22:54:22,952"
"she does he dosn't
""
",crownlessking101,"2022-10-25 22:54:24,996"
"She does, but she's too much of a girl boss to care
""
",amousereaper,"2022-10-25 22:54:25,073"
She already knows,its_migi_,"2022-10-25 22:54:27,175"
"She knows but he doesn't
""
",thetoeliqueur,"2022-10-25 22:54:27,569"
bayonetta 2 was soooooo good!,pokemarbles,"2022-10-25 22:54:29,561"
@moistcr1tikal he’s baulder from 500 years ago and bayo thinks he’s dead already,imshyguytv,"2022-10-25 22:54:29,943"
alruane best,qwertz143,"2022-10-25 22:54:32,346"
This game is a prequel @moistcr1tikal,gamer0326,"2022-10-25 22:54:32,821"
She does know but this is a different Balder,shininglotus,"2022-10-25 22:54:35,521"
"isn't the bayonette in this game different from the one in the first?
""
",thekingof7s,"2022-10-25 22:54:36,539"
i basically just bought charles a 3 piece chicken dinner from popeyes x 3,eonbakespoon,"2022-10-25 22:54:37,332"
@Eonbakespoon Finally ive made it sogYeah sogYeah,spit_e,"2022-10-25 22:54:40,388"
"he doesn't but he could give two rats balls about it
""
",ihxcked,"2022-10-25 22:54:40,922"
She don’t give a fuck mane,tillbarvr,"2022-10-25 22:54:42,280"
chainsaw man vibes,user_taken,"2022-10-25 22:54:42,404"
cant wait for bayonetta 3!,pokemarbles,"2022-10-25 22:54:45,262"
"I'm very fucking high right now
""
",zeek_tha_freek,"2022-10-25 22:54:45,683"
alruane both legs and hands best tbh,qwertz143,"2022-10-25 22:54:53,632"
same lol,forestsharks,"2022-10-25 22:54:55,532"
@zeek_tha_freek :),mphysica,"2022-10-25 22:54:58,215"
so close,voel_808,"2022-10-25 22:54:58,480"
the grab move is super strong on wicked weave attacks,beepleks,"2022-10-25 22:54:58,786"
them some long ass whips,goldenkappa_witness,"2022-10-25 22:55:03,341"
the bitrate is too low my man,isataneve,"2022-10-25 22:55:03,953"
balls sogI sogI,eonbakespoon,"2022-10-25 22:55:06,375"
me too,cartermaneki,"2022-10-25 22:55:07,224"
Is that all you got,voel_808,"2022-10-25 22:55:13,827"
"Without healing items, this fight is pretty hard",wumbodude,"2022-10-25 22:55:13,903"
i recognize some of these pixels Pog,gemini_00,"2022-10-25 22:55:14,502"
man why is bayo 3 on switch imagine 4k on pc holy,kitsune_ss,"2022-10-25 22:55:16,419"
"he's a biblically accurate angel
""
",thestonedprodigy,"2022-10-25 22:55:16,505"
peepoHappy  peepoHappy  peepoHappy,ghost_boi00,"2022-10-25 22:55:17,375"
@zeek_tha_freek yo me too,notariaster,"2022-10-25 22:55:17,696"
Is this Kingdom Hearts 4?,numnumzzzzz,"2022-10-25 22:55:18,112"
Swords are better,xxtyterraxx,"2022-10-25 22:55:20,029"
ahh yes I can see all 30 pixels,raven1022,"2022-10-25 22:55:25,840"
THIS GAME IS CHUNKING SO BAD lol,pendragwn,"2022-10-25 22:55:27,106"
Is this fallout 76?,tillbarvr,"2022-10-25 22:55:33,087"
Damn wish we got a pc port of this game but Nintendo wont let go.,spacekingj,"2022-10-25 22:55:34,840"
intense,kickingdeer1981,"2022-10-25 22:55:45,245"
"too much action, the bitrate cant keep up lol",cartermaneki,"2022-10-25 22:55:45,331"
my balls are sogMoist,ihxcked,"2022-10-25 22:55:45,331"
"@kitsune_ss It's fine as it stands, but this means we can get better versions later Pog
""
",pendragwn,"2022-10-25 22:55:52,144"
@mphysica uh?,zeek_tha_freek,"2022-10-25 22:55:53,228"
"if piss is stored in the balls, than I must be pissing myself right now",myrightpyrite,"2022-10-25 22:55:54,963"
Hello Fartcr1tikal,godthethirdbean,"2022-10-25 22:55:55,428"
"its looks better on the switch tbh, twitch isnt able to handle it",qwertz143,"2022-10-25 22:55:59,900"
"@SpacekingJ yup, sadly nintendo will nintendo",stardust_morpho,"2022-10-25 22:56:05,588"
skyrim hellfire edition,am_becky,"2022-10-25 22:56:07,203"
@myrightpyrite W,glizzdup,"2022-10-25 22:56:10,523"
Chainsawwoman > chainsawman,javanese_soren,"2022-10-25 22:56:10,605"
"@TheStonedProdigy I think they're supposed to be peacock feathers
""
",gamer0326,"2022-10-25 22:56:11,589"
oh the music from bayo 1,imshyguytv,"2022-10-25 22:56:12,775"
@SpacekingJ you can emulate it,n2red,"2022-10-25 22:56:17,998"
