text,username,timestamp
mkoLove <3 mkoLove <3 mkoLove <3 mkoLove,sophy_strawberry,"2022-11-05 16:33:42,762"
cooksuXshake exbcQnjam exbcQw exbcMonka sora629Clapping exbcLetsgo,brandontravels,"2022-11-05 16:33:45,356"
Sussy  Sussy,jerulo242,"2022-11-05 16:33:46,065"
woa,deadpooltj,"2022-11-05 16:33:48,709"
peepoCute nymnCorn,lenzor91,"2022-11-05 16:33:48,805"
!raid,uwutruej,"2022-11-05 16:33:49,288"
Miko when are you going to do interviews again? I just discovered you.,skymoonearth1,"2022-11-05 16:33:55,283"
PotFriend,knyght87,"2022-11-05 16:33:55,374"
JOIN RAID Madge,707out,"2022-11-05 16:33:55,985"
almost,chava_aa,"2022-11-05 16:33:56,070"
pepeMeltdown,olikarkki,"2022-11-05 16:33:56,917"
What did I miss... oh... toonxlYpog,badaimrage,"2022-11-05 16:33:57,796"
gachiHYPER almost there,grogdanfreedman,"2022-11-05 16:33:58,259"
mkoRaid mkoRaid mkoRaid,manzy_01,"2022-11-05 16:33:58,452"
poop,skiddlynoot,"2022-11-05 16:33:58,784"
hypeE,jayem__65,"2022-11-05 16:33:59,054"
DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE  DIESOFCRINGE,1guy_pie,"2022-11-05 16:34:00,230"
!raid,rhino_forever_,"2022-11-05 16:34:00,781"
mkoCocking mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid mkoRaid,onimarutenchu,"2022-11-05 16:34:01,436"
catsenH cya,nooobieeeeeee,"2022-11-05 16:34:03,254"
mkoBlankies mkoBlankies mkoBlankies,nixievans,"2022-11-05 16:34:04,508"
Are we being auctioned away?,akedalmans,"2022-11-05 16:34:04,587"
mkoRaid mkoRaid,chava_aa,"2022-11-05 16:34:04,665"
hypeE,olikarkki,"2022-11-05 16:34:04,972"
work in the hands,otroryu,"2022-11-05 16:34:05,026"
mkoBless,knominalknewknight,"2022-11-05 16:34:05,110"
mkoLove mkoLove mkoLove mkoLove,claus_r_hansen,"2022-11-05 16:34:05,562"
POG,demsh5,"2022-11-05 16:34:07,234"
byee,jerulo242,"2022-11-05 16:34:07,698"
do you have to join raids now........,jilbo87,"2022-11-05 16:34:08,677"
hanaxbLight hanaxbLight hanaxbLight hanaxbLight hanaxbLight hanaxbLight hanaxbLight hanaxbLight hanaxbLight hanaxbLight hanaxbLight,khalimass,"2022-11-05 16:34:10,010"
hanaxbLove hanaxbLove hanaxbLove hanaxbLove hanaxbLove hanaxbLove hanaxbLove hanaxbLove hanaxbLove hanaxbLove,khalimass,"2022-11-05 16:34:10,160"
Just got here peepoHey,rokkoji,"2022-11-05 16:34:17,297"
KEKW,rokkoji,"2022-11-05 16:34:20,025"
did it work?,ninjagato465,"2022-11-05 16:35:09,507"
"@braydford04, Stream Over. Now rendering VOD!",only_vods,"2022-11-05 16:35:15,966"
Off stream hpe train hype!,indianarocker,"2022-11-05 16:35:44,022"
peepoRiot,gejeez,"2022-11-05 16:38:44,685"
peepoRiot,nepe88,"2022-11-05 16:39:17,955"
"@braydford04, Done rendering. Back to checking when the next stream goes live!",only_vods,"2022-11-05 16:42:41,397"
cultCheck,open_my_eyes,"2022-11-05 16:43:57,794"
!uptime,open_my_eyes,"2022-11-05 16:44:14,348"
Sadge,open_my_eyes,"2022-11-05 16:44:25,081"
!lineinfo,open_my_eyes,"2022-11-05 16:45:30,746"
ACTION Nothing new Sadge peepoRiot,linetrivia,"2022-11-05 16:45:31,128"
RiotTime monkaHmm She said stream today,open_my_eyes,"2022-11-05 16:46:24,131"
Sadge stream is over,gejeez,"2022-11-05 16:47:41,313"
!downtime,open_my_eyes,"2022-11-05 16:49:00,314"
monkaS What. It said offline for 1 day 22h,open_my_eyes,"2022-11-05 16:49:34,023"
!uptime,gejeez,"2022-11-05 16:49:46,386"
monkaS Now only 21 secs,open_my_eyes,"2022-11-05 16:49:47,224"
monkaW,gejeez,"2022-11-05 16:50:00,580"
@StreamElements What was this NOOO,open_my_eyes,"2022-11-05 16:50:08,667"
pepeAgony Am I going crazy,open_my_eyes,"2022-11-05 16:50:58,742"
YEP probably,gejeez,"2022-11-05 16:51:27,642"
pepeAgony SteerR,open_my_eyes,"2022-11-05 16:51:52,908"
FeelsBadMan RiotTime Well that was a short stream,open_my_eyes,"2022-11-05 16:52:35,756"
FeelsBadMan RiotTime How was it,open_my_eyes,"2022-11-05 16:53:00,100"
FeelsWowMan it was fun,gejeez,"2022-11-05 16:55:21,567"
PogU,open_my_eyes,"2022-11-05 16:56:05,177"
"Well then, I'll have to watch the vod then peepoHappy RiotTime",open_my_eyes,"2022-11-05 16:57:01,196"
peepoKomrade RiotTime Have an ice watch,open_my_eyes,"2022-11-05 16:57:45,647"
peepoKomrade,gejeez,"2022-11-05 16:57:51,267"
cultCheck  any    holders?  peepoRiot,linetrivia,"2022-11-05 16:59:30,963"
peepoRiot,jeszpe,"2022-11-05 16:59:38,817"
[holderGame] peepoBlushShake Jeszpe,linetrivia,"2022-11-05 16:59:38,817"
peepoBlushShake,jeszpe,"2022-11-05 16:59:42,474"
peepoBlushShake,gejeez,"2022-11-05 17:01:21,454"
peepoBlushShake,nepe88,"2022-11-05 17:12:48,739"
mkoPogU Clap,gejeez,"2022-11-05 18:04:54,975"
peepoClap,nepe88,"2022-11-05 18:13:49,409"
cultCheck  any    holders?  peepoRiot,linetrivia,"2022-11-05 18:14:59,455"
peepoRiot,jeszpe,"2022-11-05 18:15:03,583"
"[holderGame] peepoClap @Jeszpe a good boi PETTHEPEEPO you earned 69 🪙, (2. place with 4,159,512 🪙) peepoRiot",linetrivia,"2022-11-05 18:15:03,987"
peepoHappy,jeszpe,"2022-11-05 18:15:14,165"
peepoClap RiotTime,nepe88,"2022-11-05 18:15:43,960"
