text,username,timestamp
EZ,pizziy0,"2022-11-05 13:20:04,147"
byclelover WICKED,raddummy,"2022-11-05 13:20:04,711"
is you blown brother?,laundersontop,"2022-11-05 13:20:06,192"
forsenCD,lelezinski,"2022-11-05 13:20:06,513"
@Jerach i think so :),ridiqulous,"2022-11-05 13:20:06,953"
TALLER KKonaW,mrjokester,"2022-11-05 13:20:07,739"
Wokege war,nothingbutcoffee,"2022-11-05 13:20:07,989"
fadedthanaho,doenel3,"2022-11-05 13:20:08,916"
bro paid 2 pairs of yeezys for this OMEGALUL,smuh_,"2022-11-05 13:20:08,916"
WAYTOODANK flicker,sharky144,"2022-11-05 13:20:10,301"
haygirl,lunacycl,"2022-11-05 13:21:48,008"
⛺,sharky144,"2022-11-05 13:21:48,232"
Aware someone stop him,hir0k,"2022-11-05 13:21:49,155"
@nordwars_ Concerned,4shrugidk,"2022-11-05 13:21:50,081"
⛺,oerum,"2022-11-05 13:21:50,246"
Nerdge,cactus_jack__,"2022-11-05 13:21:50,698"
AINTNOWAY,persistantpro,"2022-11-05 13:21:52,008"
Camping Nerdge,alchin0,"2022-11-05 13:21:52,239"
bro set up a whole camp ground AINTNOWAY,desuyooo,"2022-11-05 13:21:52,548"
UAV PagMan,crockclobsta,"2022-11-05 13:21:53,318"
hes defending Nerdge,dengit250,"2022-11-05 13:21:53,858"
Camping Carl LULE,eamm_,"2022-11-05 13:21:54,648"
Nerdge nice spot poke,saartki,"2022-11-05 13:21:55,077"
Nerd,campifyz,"2022-11-05 13:21:57,111"
@itswhateva15 fr ong,aleksei_y,"2022-11-05 13:21:58,114"
Getcamped,ebyandsmartie,"2022-11-05 13:22:00,628"
⛺ anyone brought marshmellows?,steve0119__,"2022-11-05 13:22:01,728"
bolt animation Kreygasm,anothercull,"2022-11-05 13:22:02,356"
camping frog,esquilax,"2022-11-05 13:22:02,664"
CARE PACKAGE PagMan,crockclobsta,"2022-11-05 13:22:03,126"
AINTNOWAY bro is cooking smores,jimmotep,"2022-11-05 13:22:03,126"
he thinks he playin fortnite,chaseroony,"2022-11-05 13:22:03,280"
cod fans when someone stands still for more than 6 seconds AINTNOWAY AINTNOWAY AINTNOWAY AINTNOWAY AINTNOWAY AINTNOWAY,solarparade,"2022-11-05 13:22:04,129"
Camping Nerdge till no ammo,alchin0,"2022-11-05 13:22:04,745"
getting cozy,posk___,"2022-11-05 13:22:04,745"
GIGACHAD mounted campers,jebuizgwentworth,"2022-11-05 13:22:05,506"
this is sad to wwatch,haajile,"2022-11-05 13:22:05,717"
MODERATING reported for camping,ewanbb,"2022-11-05 13:22:06,586"
"""camping"" Nerdge stationary unphased GIGACHAD",woad,"2022-11-05 13:22:08,455"
Nerd,dubs301,"2022-11-05 13:22:09,605"
⛺️,4shrugidk,"2022-11-05 13:22:09,992"
PauseChamp,smuh_,"2022-11-05 13:22:11,026"
PepeLaugh care package,doubledeeeeeee,"2022-11-05 13:22:11,150"
PepeLa,crutchs_,"2022-11-05 13:22:12,140"
elisLick  elisLick  elisLick  elisLick  elisLick,seedthefall,"2022-11-05 13:22:12,140"
He is camping what a looser Nerdge,wesc_97,"2022-11-05 13:22:12,218"
this aint fortnite AINTNOWAY,chaseroony,"2022-11-05 13:22:12,970"
@Lfante wait this game is that much? LULW,flavoredshotgun,"2022-11-05 13:22:14,014"
