text,username,timestamp
I heard some rumors that 11 is super hot right now,r1zia,"2022-11-05 16:33:43,165"
Yee KEK,rizzler_,"2022-11-05 16:33:43,881"
11 is HAWT,justthelightofdawn,"2022-11-05 16:33:45,657"
did he bet on 11?,nahu98tv,"2022-11-05 16:33:54,123"
98% Chance that 11 is hot,appolleonn,"2022-11-05 16:33:55,755"
@ZER0coolll they couldnt figure it out after 6 hours so the keycard expired and they couldnt attempt it anymore,doinx,"2022-11-05 16:33:56,583"
peepoHey you beautiful MF's,mainpr1de,"2022-11-05 16:33:58,568"
I think 5 and 32 is melting rn,monseen,"2022-11-05 16:33:58,707"
KEKW,number_slx,"2022-11-05 16:34:00,654"
I heard red is hot today Clueless,dani9il,"2022-11-05 16:34:00,920"
KEKW,louiswut,"2022-11-05 16:34:02,450"
KEKW,ablaze3018,"2022-11-05 16:34:03,077"
lmao,h0zner,"2022-11-05 16:34:03,509"
hahahaha,digiblak,"2022-11-05 16:34:03,516"
LUL,kameff_,"2022-11-05 16:34:04,176"
"""aint got sht"" KEKW",rscake,"2022-11-05 16:34:04,384"
docSlam,kenm_in_fl,"2022-11-05 16:34:05,695"
KEKW,inyu1,"2022-11-05 16:34:06,861"
lmaoooo,aelan15,"2022-11-05 16:34:08,377"
this shit is so rigged,ciderbeard,"2022-11-05 16:34:10,090"
KEKW damn,number_slx,"2022-11-05 16:34:10,276"
they can hear your shit,louiswut,"2022-11-05 16:34:11,318"
shit on you,creepydroid,"2022-11-05 16:34:12,107"
KEKW,grillcheezey,"2022-11-05 16:34:14,225"
fadedthanaho,chipbonito420,"2022-11-05 16:34:14,461"
Oh sumSmash,rizzler_,"2022-11-05 16:34:14,609"
thanks @doinx,zer0coolll,"2022-11-05 16:34:15,160"
table is cold,mike_r9,"2022-11-05 16:34:16,551"
Change table,misterroonie,"2022-11-05 16:34:16,656"
docSmash,inyu1,"2022-11-05 16:34:18,320"
Aint got shit…….ok!,redneckcyborg,"2022-11-05 16:34:24,084"
dont gambe kids,blanks37,"2022-11-05 16:34:25,427"
he is at it again....,0zwilly0,"2022-11-05 16:34:26,148"
damn,donotbenoobtv,"2022-11-05 16:34:26,862"
you have a 20 = dealer with blackjack,supersaiyangam3r,"2022-11-05 16:34:31,039"
hes right back at it atpRtsd atpRtsd,hyphyboricua510,"2022-11-05 16:34:36,233"
this shit is boring af,evilkhaoz,"2022-11-05 16:34:39,413"
oof,methodikkal,"2022-11-05 16:34:40,695"
catJAM,tru_d0g,"2022-11-05 16:34:40,800"
sumWiener,grillcheezey,"2022-11-05 16:34:42,432"
smol head with big head,mesauvage,"2022-11-05 16:34:42,432"
"Chat, we WIDE? SO WIDE! widepeepoHappy  wideVIBE",chillydark,"2022-11-05 16:34:45,166"
Change table,ayomalkie,"2022-11-05 16:34:45,274"
!uptime,0zwilly0,"2022-11-05 16:34:45,694"
The tables giveth and the tables taketh away,asigmon69,"2022-11-05 16:34:47,900"
Smh,rizzler_,"2022-11-05 16:34:48,375"
"I miss my cat... He used to do the same, just lay in front of me while I gamed. We had to unexpectedly put him to sleep a couple months ago. :'(",bpsmooth,"2022-11-05 16:34:48,532"
@EvilKhaoZ Then leave fam,grandfatherjam,"2022-11-05 16:34:49,250"
All on red,juce_707,"2022-11-05 16:34:51,203"
Yee,rizzler_,"2022-11-05 16:34:54,762"
KEKW,tkala123,"2022-11-05 16:34:54,935"
my boy ADDICTED atpMurray,hyphyboricua510,"2022-11-05 16:34:58,550"
wideVIBE,kenm_in_fl,"2022-11-05 16:34:59,319"
what type of headset you use sum??,keviintv_,"2022-11-05 16:35:00,606"
ALL ON RED RIGHT NOW!,ayomalkie,"2022-11-05 16:35:02,043"
gotta stand on 11,risiheart,"2022-11-05 16:35:02,469"
@Bpsmooth Sadge sorry to hear,arctic_jdm,"2022-11-05 16:35:06,221"
@Bpsmooth damn im sorry man,banjokat,"2022-11-05 16:35:06,533"
always hit on,vink9n,"2022-11-05 16:35:07,136"
He up or down chat?,lazeruss,"2022-11-05 16:35:09,932"
everything,vink9n,"2022-11-05 16:35:11,211"
Lil Train Jr over here,camptryhard,"2022-11-05 16:35:14,685"
ACTION sum1g ✧ RESUB HYPE! (ﾉ◕ヮ◕)ﾉ sumBuhblam Ewoot stayed on the 1G Squad!! sum1g sumLove sum1g,xhipgamer,"2022-11-05 16:35:16,221"
BloodTrail BloodTrail BloodTrail,ayomalkie,"2022-11-05 16:35:16,869"
keep losing and I'm gonna lose it,floppydoochens,"2022-11-05 16:35:18,653"
What  mic are you using currently Summit?,kishineren,"2022-11-05 16:35:23,274"
nothing makes me smile more than joining the stream and seeing sum in the casino,a_double94,"2022-11-05 16:35:24,150"
you NEED TO AT LEAST GO 20K HANDS 5 WINS 100k with no 2x you have to win 10 to match that the house allways wins less hands the better,bozzapro,"2022-11-05 16:35:26,184"
Is koo it’ll go back.,rizzler_,"2022-11-05 16:35:28,503"
I wonder if Jack Black is good at Blackjack ?,jhelmsey,"2022-11-05 16:35:57,080"
96%,louiswut,"2022-11-05 16:35:59,910"
no shit dumbass,spoderhunter,"2022-11-05 16:36:01,184"
!snek,rizzler_,"2022-11-05 16:36:01,268"
KEKW,vaske_su,"2022-11-05 16:36:01,268"
Aware,mikeypsavage,"2022-11-05 16:36:01,635"
Is 10k max?,shakethempixels,"2022-11-05 16:36:02,047"
Thats every casino game ever,bozzz012,"2022-11-05 16:36:04,750"
try 40/60,mainpr1de,"2022-11-05 16:36:04,829"
donos figured out how gambling works POGGERS,mossico,"2022-11-05 16:36:06,228"
TRUEING wrong,jrhodes27,"2022-11-05 16:36:06,460"
that is any game in a casino,eli_sundance,"2022-11-05 16:36:06,545"
gamblers lose money?? WUT?,antfr0,"2022-11-05 16:36:08,119"
peepoHigh Nah man we good,chillydark,"2022-11-05 16:36:08,683"
@BanjoKat Thanks man. Just seeing Summit's cat laying their brought back a ton of memories,bpsmooth,"2022-11-05 16:36:09,005"
BRUH,kenm_in_fl,"2022-11-05 16:36:10,253"
Skill can change that,plexgears,"2022-11-05 16:36:10,329"
we will se he says,v0dkeh,"2022-11-05 16:36:10,958"
can't trust koil Kappa,sleepymadeira,"2022-11-05 16:36:13,266"
anything other than this tn? @summit1g,discojacob,"2022-11-05 16:36:13,909"
addict,v0dkeh,"2022-11-05 16:36:14,200"
TRUING,teamhello_,"2022-11-05 16:36:15,464"
"""we'll see"" lol",dundunduuuunn,"2022-11-05 16:36:15,856"
No cap summit has a real addiction to losing his money,opi_pc,"2022-11-05 16:36:17,246"
jack black blackjack hacks,floppydoochens,"2022-11-05 16:36:18,294"
TRUEING,donotbenoobtv,"2022-11-05 16:36:18,879"
KEKW,number_slx,"2022-11-05 16:36:18,991"
LUL,crolas1,"2022-11-05 16:36:19,153"
What Mic is Summit using??,kishineren,"2022-11-05 16:36:19,238"
KEKW,inyu1,"2022-11-05 16:36:20,154"
lmao,h0zner,"2022-11-05 16:36:20,234"
KEKW,jiggythekid,"2022-11-05 16:36:20,325"
TRUEING,teamhello_,"2022-11-05 16:36:20,577"
YIKES,acarakim,"2022-11-05 16:36:20,798"
blackjack is at best 50.5 to 49.5 in real life so yeah,vink9n,"2022-11-05 16:36:21,318"
KEKW,xexogamingftwx,"2022-11-05 16:36:22,164"
KEKW,able_ei,"2022-11-05 16:36:22,257"
PepeLaugh,unknownn04,"2022-11-05 16:36:23,244"
LUL,officialklaus,"2022-11-05 16:36:23,321"
what casino has odds in the players favor KEKW,zachrnggod,"2022-11-05 16:36:23,464"
this shit sooooooooo rigged,ciderbeard,"2022-11-05 16:36:23,732"
KEKW,xcassiusx,"2022-11-05 16:36:23,925"
KEKW,nonomo4,"2022-11-05 16:36:24,019"
kekw,zz_bobi_zz,"2022-11-05 16:36:24,130"
lmao,sloth_chunk,"2022-11-05 16:36:24,295"
lol,forthewynne,"2022-11-05 16:36:24,449"
KEKW,optibot,"2022-11-05 16:36:24,715"
sum would keep playing if it was lottery odds,supersaiyangam3r,"2022-11-05 16:36:24,783"
wow,june_xxii,"2022-11-05 16:36:24,862"
I am up millions TRUEING,jrhodes27,"2022-11-05 16:36:25,036"
KEKW,indek,"2022-11-05 16:36:25,036"
this shit rigged AF,sirdigzalot,"2022-11-05 16:36:25,495"
Bedge,kenm_in_fl,"2022-11-05 16:36:26,510"
KEKW,methodikkal,"2022-11-05 16:36:26,632"
why is this game called blackjack?,atom_ali_,"2022-11-05 16:36:26,710"
mf lulw,krayevsky7,"2022-11-05 16:36:27,146"
not rigged at all PepeLaugh,owenswift259,"2022-11-05 16:36:27,580"
shoulda hit tha 20 Kappa,guvnaylor,"2022-11-05 16:36:27,762"
fucking called it too,acarakim,"2022-11-05 16:36:28,538"
DAAAAMN,kameff_,"2022-11-05 16:36:29,226"
KEKW getting dk'd down,number_slx,"2022-11-05 16:36:29,372"
xqcSlam,n8x_gaming,"2022-11-05 16:36:30,315"
21 DANKIES,thegatekeeperxd,"2022-11-05 16:36:30,693"
split that and end up winning big tho,crankypants8,"2022-11-05 16:36:33,032"
Koil also said 11 is Hot,aisukage09,"2022-11-05 16:36:34,094"
double down?,puresilentj95,"2022-11-05 16:36:35,400"
time to change tables CarlSmile,mtbetta,"2022-11-05 16:36:36,022"
time to leave take a drive around and come back,miigeruuuuu,"2022-11-05 16:36:36,616"
LUL,martimcfly,"2022-11-05 16:36:37,359"
“Let’s see” so twisted xqcHead,failmuch_,"2022-11-05 16:36:37,436"
if you play perfect you lose..no shot,seaniefizzle,"2022-11-05 16:36:38,198"
ALL ON RED,ayomalkie,"2022-11-05 16:36:38,561"
i mean theoretically summit can win the next 9999999 hands (theoretically),louiswut,"2022-11-05 16:36:39,629"
@zachRNGgod one thats out of business lol,90brian90,"2022-11-05 16:36:40,302"
sumPirate_SG,logan29summers,"2022-11-05 16:36:40,375"
NOW!,ayomalkie,"2022-11-05 16:36:40,578"
always double down on 20 LuL,mainpr1de,"2022-11-05 16:36:40,935"
ACTION sumLove ✧ RESUB HYPE! (ﾉ◕ヮ◕)ﾉ sumBuhblam adamwagler stayed on the 1G Squad!! sum1g sumLove sum1g,xhipgamer,"2022-11-05 16:36:41,007"
@plexgears not in a video game,tera,"2022-11-05 16:36:41,207"
ACTION sumCreeper ✧ RESUB HYPE! (ﾉ◕ヮ◕)ﾉ sumBuhblam RoxlyGG stayed on the 1G Squad!! sum1g sumLove sum1g,xhipgamer,"2022-11-05 16:36:42,184"
you gotta change up your bet every once and a while,v3gas96,"2022-11-05 16:36:42,257"
hey chances exist so why not right ?,erahzed,"2022-11-05 16:36:43,061"
This is getting to be time to walk away with BS like that.,myk63,"2022-11-05 16:36:43,216"
@Bpsmooth yeah i can imagine man. Cherish those memories brother,banjokat,"2022-11-05 16:36:43,345"
@atom_ali_ because jack was black,vink9n,"2022-11-05 16:36:44,136"
Seems 52-48 to me lmfao,redneckcyborg,"2022-11-05 16:36:45,259"
right,grandfatherjam,"2022-11-05 16:36:45,929"
11 is so hot right now,kameff_,"2022-11-05 16:36:47,357"
hi,swifta996,"2022-11-05 16:36:48,609"
sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG,logan29summers,"2022-11-05 16:36:50,336"
IT HITS RED 60/40!,ayomalkie,"2022-11-05 16:36:53,190"
you need to do 20k hands,bozzapro,"2022-11-05 16:36:55,190"
21\,davideluci,"2022-11-05 16:36:59,697"
Wesley snipes says to always bet on black,floppydoochens,"2022-11-05 16:37:01,754"
@vink9n should be called 21,atom_ali_,"2022-11-05 16:37:02,750"
Just bet it all on 11,kindabadgaming,"2022-11-05 16:37:03,054"
oh no hes back at the bj,alcapwnyy,"2022-11-05 16:37:06,333"
200 k 10 hands,bozzapro,"2022-11-05 16:37:10,606"
always double down 11s brother,skept3k,"2022-11-05 16:37:10,685"
woooo,puresilentj95,"2022-11-05 16:37:11,324"
@Tera Bro im trying to make him hit that hopium ?,plexgears,"2022-11-05 16:37:11,793"
go all in,kogin1,"2022-11-05 16:37:11,946"
Has summit give up on roulette?,opi_pc,"2022-11-05 16:37:12,813"
how many hrs you logged in the casino chairs,rough_n_tuff,"2022-11-05 16:37:13,031"
i believe,kogin1,"2022-11-05 16:37:13,142"
with no split the odds must change?,headshott3r,"2022-11-05 16:37:13,857"
im terrible at blackjack,louiswut,"2022-11-05 16:37:14,577"
@atom_ali_ no thats basketball,vink9n,"2022-11-05 16:37:15,754"
where do i get this game?,n1klausx,"2022-11-05 16:37:18,368"
!commands,rizzler_,"2022-11-05 16:37:19,798"
summit's BJs are a bit hit and miss KappaPride,officialklaus,"2022-11-05 16:37:25,808"
Dam,rizzler_,"2022-11-05 16:37:30,454"
honestly.....this is my favorite chawa arc so far.,antidote95x,"2022-11-05 16:37:33,895"
@plexgears nah,tera,"2022-11-05 16:37:34,626"
"It's called Blackjack because you used to get a 10 to 1 bonus for having a Black Jack as part of your winning hand, per google for whoever asked.",bpwoods,"2022-11-05 16:37:34,930"
LULW,louiswut,"2022-11-05 16:37:36,258"
theage16StunAgent,theagentfps,"2022-11-05 16:37:36,709"
online,engravedbanana,"2022-11-05 16:37:38,961"
sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPirate_SG sumPls sumPls sumPls sumPls sumPls sumPls sumPls sumPls sumPls sumPls sumPls sumPls sumPls sumPls sumPls,logan29summers,"2022-11-05 16:37:39,658"
now she got 21 KEKW,zunik,"2022-11-05 16:37:43,796"
imagine if he could spilt,grandfatherjam,"2022-11-05 16:37:45,552"
oop,number_slx,"2022-11-05 16:37:46,277"
its in single player,ayomalkie,"2022-11-05 16:37:47,276"
11 is still hot from what I understand,unfluffybunny,"2022-11-05 16:37:47,353"
ACTION sumUp ✧ RESUB HYPE! (ﾉ◕ヮ◕)ﾉ sumBuhblam Bvcky_B stayed on the 1G Squad!! sum1g sumLove sum1g,xhipgamer,"2022-11-05 16:37:50,551"
KEKW,haydenlebfn,"2022-11-05 16:37:52,072"
KEKW,ablaze3018,"2022-11-05 16:37:53,164"
KEKW,kameff_,"2022-11-05 16:37:53,319"
LOOOOL,akaihanaxd,"2022-11-05 16:37:53,319"
KEKW,number_slx,"2022-11-05 16:37:53,319"
RIGGED,davideluci,"2022-11-05 16:37:53,319"
ewwwwwwwwwww,acarakim,"2022-11-05 16:37:53,319"
KEKW,xcassiusx,"2022-11-05 16:37:53,575"
@vink9n because the ideal hand used to be an ace of spades and a black jack,jiggythekid,"2022-11-05 16:37:55,059"
kekl,proximoo,"2022-11-05 16:37:55,203"
LUL,prof_noak,"2022-11-05 16:37:56,578"
catBop,thegatekeeperxd,"2022-11-05 16:37:56,975"
CoolCat CoolCat CoolCat CoolCat CoolCat,deliriousmanc1988,"2022-11-05 16:37:57,146"
"bro the dealer gets 21 every other hand, seems legit....",ciderbeard,"2022-11-05 16:37:58,553"
Rigged,smegly69,"2022-11-05 16:37:58,680"
KEKW,skylar000001,"2022-11-05 16:37:59,222"
lol,s_bell,"2022-11-05 16:37:59,299"
catBop SmokeTime,louiswut,"2022-11-05 16:37:59,299"
KEKL,buky756,"2022-11-05 16:38:01,135"
normal gta limit is 5 k,booker_the_butcher,"2022-11-05 16:38:01,135"
catBop 󠀀,unsoursop,"2022-11-05 16:38:03,352"
push on a 21 Sadge,mainpr1de,"2022-11-05 16:38:03,679"
CoolCat,prof_noak,"2022-11-05 16:38:03,866"
KEKW,donotbenoobtv,"2022-11-05 16:38:05,064"
nah im blowing up the whole place after that,acarakim,"2022-11-05 16:38:07,563"
sumB sumB_HF,logan29summers,"2022-11-05 16:38:08,750"
catBop,teamhello_,"2022-11-05 16:38:09,058"
thats rigged,bozzapro,"2022-11-05 16:38:09,058"
double the next one trust me,tzloaf,"2022-11-05 16:38:14,775"
Rigged af,prof_noak,"2022-11-05 16:38:17,898"
wtf the dealer only had 2 cards?,justfinex,"2022-11-05 16:38:19,297"
@Bpwoods back when they played one deck. now you can still do side bets though,90brian90,"2022-11-05 16:38:20,931"
"uh oh chawas back in the casino, the tow truck is next boys",torpedosneak,"2022-11-05 16:38:21,281"
rigged for players confirmed,bootyshortz,"2022-11-05 16:38:22,372"
peepoHigh catHUH,grumpygr1ngo,"2022-11-05 16:38:22,809"
thats rigged man,buky756,"2022-11-05 16:38:24,569"
oof,louiswut,"2022-11-05 16:38:26,611"
CiGrip,beerhuffer,"2022-11-05 16:38:27,946"
"@JiggyTheKid i know, im just messing around bucko. a black jack was optimal etc",vink9n,"2022-11-05 16:38:28,669"
let it ride!,s_bell,"2022-11-05 16:38:29,016"
is 11 still hot,fthxdxluffy,"2022-11-05 16:38:31,070"
Pog,number_slx,"2022-11-05 16:38:33,025"
no shot,mainpr1de,"2022-11-05 16:38:33,910"
Pog,louiswut,"2022-11-05 16:38:34,090"
LETS GOO,ayomalkie,"2022-11-05 16:38:34,245"
pog,deliriousmanc1988,"2022-11-05 16:38:35,848"
wow,yaggy85,"2022-11-05 16:38:36,164"
blackjack,louiswut,"2022-11-05 16:38:36,761"
EZ,acarakim,"2022-11-05 16:38:37,145"
double down again you got it,puresilentj95,"2022-11-05 16:38:38,265"
EZ Clap,number_slx,"2022-11-05 16:38:39,452"
NICE,louiswut,"2022-11-05 16:38:39,661"
EZ,plexgears,"2022-11-05 16:38:40,664"
how much is sum down,miczarieltm,"2022-11-05 16:38:42,893"
gamble irl this online shit for da birds,aphizzle,"2022-11-05 16:38:43,038"
Call rockstar bro this is your money,luxlad,"2022-11-05 16:38:44,205"
what 2 in a row Pog,buky756,"2022-11-05 16:38:44,722"
W,zateni,"2022-11-05 16:38:45,298"
a push is a win!!!,unityy_1,"2022-11-05 16:38:47,577"
GIGACHAD hit,zateni,"2022-11-05 16:38:50,679"
how much money we lose today chat?,supersaiyangam3r,"2022-11-05 16:38:54,922"
still down 40k,cptxgalactus,"2022-11-05 16:38:54,994"
@aPhizzle LUL,grandfatherjam,"2022-11-05 16:38:55,375"
LULW,jrhodes27,"2022-11-05 16:38:58,369"
@vink9n good one bucko,jiggythekid,"2022-11-05 16:38:58,688"
@MiczarielTM 2.5 mil lasy i heard,ltreno,"2022-11-05 16:38:59,681"
unchar7Smile,ayomalkie,"2022-11-05 16:39:04,235"
@aPhizzle Is blackjack even allowed anymore lol,bpwoods,"2022-11-05 16:39:04,832"
widepeepoHappy,acarakim,"2022-11-05 16:39:07,105"
widepeepoHappy,rest_ln_pasta,"2022-11-05 16:39:09,066"
"@summit1g you have enough to buy a tow truck now, bring back Tow Johnson’s lol",tonii369,"2022-11-05 16:39:09,895"
"thats a fucking oof, thanks reno",miczarieltm,"2022-11-05 16:39:12,813"
widepeepoHappy,inyu1,"2022-11-05 16:39:13,005"
Hes chilling widepeepoHappy,msav,"2022-11-05 16:39:13,087"
widepeepoHappy widepeepoHappy widepeepoHappy widepeepoHappy,skylar000001,"2022-11-05 16:39:16,200"
catKISS,kenm_in_fl,"2022-11-05 16:39:17,866"
ScaredyCat,louiswut,"2022-11-05 16:39:21,257"
Kitty! widepeepoHappy,zateni,"2022-11-05 16:39:24,051"
L,sosakara23,"2022-11-05 16:39:24,669"
