text,username,timestamp
KEKW,yobroyobroyo,"2022-10-25 22:54:10,776"
BigBrother,fluffyizuna,"2022-10-25 22:54:14,153"
Support Game Easy,untwitch123,"2022-10-25 22:54:16,942"
EZ assist,unicornrx78,"2022-10-25 22:54:17,602"
EZ Clap,ceddy212,"2022-10-25 22:54:18,208"
look at all that GOLD@!!!,wateringcan11,"2022-10-25 22:54:19,349"
PETTHEDOUBTERS,that_gui_jokr,"2022-10-25 22:54:21,062"
GG EZ,alyx_sh,"2022-10-25 22:54:21,369"
ENEMY BOT OUT KEKL,val36e,"2022-10-25 22:54:22,525"
@ruettiger KEKW,aglionx,"2022-10-25 22:54:22,952"
GG,durdenshadow,"2022-10-25 22:54:23,029"
EZ,symphony_of_heaven,"2022-10-25 22:54:27,413"
WINNERSQ,replay2315,"2022-10-25 22:54:27,491"
nc,chichayboorat,"2022-10-25 22:54:29,024"
I p,aemiom,"2022-10-25 22:54:29,341"
Quantum is the GOAT,thedistantmist,"2022-10-25 22:54:29,450"
@wateringcan11 Actual player rank KEKW,pyro_kertok,"2022-10-25 22:54:29,781"
Xin is inting this game holy KEKL,monsieurgoar,"2022-10-25 22:54:30,275"
someone coinflip right this game KEKW,lecreamer,"2022-10-25 22:54:33,984"
i thought it was quantum fizzics,jonpangle,"2022-10-25 22:54:34,519"
???,jonpangle,"2022-10-25 22:54:36,249"
CHAT WAKE UP Wokege,yobroyobroyo,"2022-10-25 22:54:37,198"
we lose these pls,xxxmoosemanxxx,"2022-10-25 22:54:39,557"
Wokge,yobroyobroyo,"2022-10-25 22:54:39,967"
widepeepoHappy  👉 peepoCat,ccity_,"2022-10-25 22:54:42,326"
EZ WIN,replay2315,"2022-10-25 22:54:42,481"
So why not play sup,untwitch123,"2022-10-25 22:54:51,988"
PauseChamp,moromagdi,"2022-10-25 22:54:55,222"
peepoCat,lockynsound,"2022-10-25 22:54:57,064"
does he have an overlay on his map,thunderkidyt,"2022-10-25 22:54:58,553"
DIANA CARRYING CUS LAST PICK,jubichryzt,"2022-10-25 22:54:59,613"
PauseChamp TRIPLE ?,moromagdi,"2022-10-25 22:55:00,311"
i told yall quantum carries these ez plus ty its in the batg,kittoimp,"2022-10-25 22:55:00,427"
Do you respect Quantum?,krayah148,"2022-10-25 22:55:07,341"
PagMan,moromagdi,"2022-10-25 22:55:07,771"
peepoCat peepoHappy,sillycappy,"2022-10-25 22:55:08,131"
EZ,devastayta,"2022-10-25 22:55:09,883"
