text,username,timestamp
@sithcobra Isnt New World pretty dead? :p,ersdaltv,"2022-10-25 22:54:01,016"
how do youhandle that many skills on your bars lol,rocket19281,"2022-10-25 22:54:03,387"
@omeggie lmao sucks for you,slycon,"2022-10-25 22:54:09,007"
Hello @shroud are you gonna play lost ark again at some time?,pyromancy03,"2022-10-25 22:54:14,316"
"Check out Mike's Instagram account - http://www.instagram.com/shroud :D
""
",streamelements,"2022-10-25 22:54:14,910"
LUL,eros718,"2022-10-25 22:54:24,072"
hydrate,erosiccu,"2022-10-25 22:54:31,296"
what class is he?,campmasterlazlo,"2022-10-25 22:54:36,070"
!addons,hayride,"2022-10-25 22:54:38,355"
@hayride Type !classicaddons for WoW Classic !addonlinks for WoW Classic addon links and !esoaddons for Elder Scrolls Online shroudYEP,streamelements,"2022-10-25 22:54:38,564"
!classicaddons,hayride,"2022-10-25 22:54:47,079"
"@hayride, shroud uses SexyMap, Atlas, Bagnon, Details! Damage Meter, Dominos, LortiUI, Weak Auras, and TSM (TradeskillMaster). Font used: Prototype. Full list here: https://clips.twitch.tv/AuspiciousHedonisticBaconCharlieBitMe-lo617BXkDq7AIQCD - Updated 6/9/21",streamelements,"2022-10-25 22:54:47,187"
@CampMasterLazlo protadin,cptaizensosuke,"2022-10-25 22:54:47,489"
tony the tiger fkn mad,cooltimate,"2022-10-25 22:54:49,334"
omeggie theres a whole directory full of ow streamers,theragingunicorn,"2022-10-25 22:54:52,097"
we did it today :),voyl_,"2022-10-25 22:55:21,558"
our top dps was 4.5k,voyl_,"2022-10-25 22:55:28,298"
"@shroud you lived, the second drake that landed killed u xD",kiilua99,"2022-10-25 22:55:29,527"
Hello @shroud are you gonna play lost ark again at some time?,pyromancy03,"2022-10-25 22:55:58,484"
the easy strat is tro bring 2 tanks 2 healers,der0mega,"2022-10-25 22:56:03,494"
ez solo wonder if i can solo as geared demo.. havent tried in a bit,alphasimply,"2022-10-25 22:56:24,947"
what is ur gs,lanard9,"2022-10-25 22:56:26,246"
"@shroud someone said that you would be best apex pred if you played apex legends, so question is why arent you playing that game? :O",cptaizensosuke,"2022-10-25 22:56:30,450"
you get a good parse on 3d without t rying tbh cause so few people have cleared it,kokko503,"2022-10-25 22:56:34,954"
@shroud the razz raptors right there drop a sick little baby raptor pet =D,kiilua99,"2022-10-25 22:56:40,137"
"Good times, sometimes a struggle, but good times",koffiekoekje,"2022-10-25 22:56:57,715"
Just let wf do its work and kick back,jimbagg,"2022-10-25 22:57:00,806"
yeah lol,alphasimply,"2022-10-25 22:57:05,719"
did shroud play console games growing up or has always been a pc gamer?,candlesticks_,"2022-10-25 22:57:15,711"
!server,quater36,"2022-10-25 22:57:46,739"
Optimal strat confirmed!,xhairbait,"2022-10-25 22:57:50,557"
no music?,chippotlettv,"2022-10-25 22:58:15,948"
gaming,rieux32,"2022-10-25 22:58:23,408"
"don't forget to beat your leather drums baby!
""
",xhairbait,"2022-10-25 22:58:37,240"
EZ,endoftheend,"2022-10-25 22:58:40,510"
You playing New World Fresh Start Servers Nov 2nd?,tiltz_,"2022-10-25 22:58:51,131"
Drums YEP,alphasimply,"2022-10-25 22:58:55,775"
YEP drums,rukia__kuchiki,"2022-10-25 22:58:59,435"
"LMFAO 11 IN THE WORLD '' does that include china ?! LMFAO
""
",bigman_init,"2022-10-25 22:58:59,753"
"i recommended the drums SOOMUCH earlier lmao, im glad everyone started spamming it xD",kiilua99,"2022-10-25 22:59:21,496"
they are built biffy,alphasimply,"2022-10-25 22:59:35,816"
Gamers,koffiekoekje,"2022-10-25 22:59:42,237"
diffy*,alphasimply,"2022-10-25 22:59:42,454"
ANY TIGER OWNERS,triplezro,"2022-10-25 22:59:47,151"
"china plays a different game, not even hosted by Blizzard itself",der0mega,"2022-10-25 22:59:51,932"
Do you push to talk in discord or voice ac?,erosiccu,"2022-10-25 22:59:52,179"
"i know it's just funny how he asked if china is included in ' the world '""",bigman_init,"2022-10-25 22:59:57,971"
*Tigerking Enters The Chat*,xhairbait,"2022-10-25 23:00:07,740"
"when released this raid was for 25people of lvl60, 20lvls later and you get to do it solo :D but last boss proly cant be done solo",cptaizensosuke,"2022-10-25 23:00:10,271"
25 people was it?,immikeyangelo,"2022-10-25 23:00:26,338"
zg 20,chicknwiings,"2022-10-25 23:00:42,956"
its 20 people,chicknwiings,"2022-10-25 23:00:45,526"
btw shout out to the gifters that got me to a 2 year sub badge,immikeyangelo,"2022-10-25 23:01:03,641"
whats ur gs sheesh?,zielrx,"2022-10-25 23:01:06,008"
LOL,xhairbait,"2022-10-25 23:01:13,477"
Morning mate,ryanhc4life,"2022-10-25 23:01:15,435"
"Just gotta hang in chat and you'll get a sub eventually
""
",immikeyangelo,"2022-10-25 23:01:16,424"
Self loathing,general_merk,"2022-10-25 23:01:17,196"
!rank,i_hem,"2022-10-25 23:01:18,552"
"@i_Hem, his rank is Immortal 3 - 504RR.  (acc: shroud)",streamelements,"2022-10-25 23:01:20,644"
bring on that negativity baby,xhairbait,"2022-10-25 23:01:21,042"
"doesn't drop if you don't do it
""
",krypp91,"2022-10-25 23:01:21,211"
Sadge,rieux32,"2022-10-25 23:01:24,247"
yes,vacui_dev,"2022-10-25 23:01:24,419"
yep,alphasimply,"2022-10-25 23:01:26,878"
LOL,theragingunicorn,"2022-10-25 23:01:27,988"
yeah almost exactly haha,erosiccu,"2022-10-25 23:01:28,150"
no,itsjer,"2022-10-25 23:01:28,519"
its like 0.5 or 1 %,cptaizensosuke,"2022-10-25 23:01:31,721"
pretty much lol,wolfyowns,"2022-10-25 23:01:31,805"
pick up items and vendor :)),chicknwiings,"2022-10-25 23:01:33,880"
yes,milestonemi,"2022-10-25 23:01:34,033"
becasue one day you know it will drop,lunatickish,"2022-10-25 23:01:36,490"
@shroud do karazhan,kranyus,"2022-10-25 23:01:36,961"
