text,username,timestamp
!crosshair,sanaya__,"2022-10-25 22:54:04,261"
"CSGO: cl_crosshairstyle 1;cl_fixedcrosshairgap -4.5;hud_showtargetid 0 | VALORANT: inner lines 1 6 2 2, everything else off",fossabot,"2022-10-25 22:54:04,463"
Tarik its so fun to watch u guys earlier with shroud playing Propniht,zokeceroo,"2022-10-25 22:54:09,852"
!sens,eat_a_sheet,"2022-10-25 22:54:10,335"
"CSGO: 1.5 @ 800 DPI, VALORANT: .471 800 DPI",fossabot,"2022-10-25 22:54:10,516"
"when i went to sleep you were streaming and i'm getting up for work and youre STILL STREAMING
""
",06rebste,"2022-10-25 22:54:12,218"
im picking you peepoHappy,xdoritto,"2022-10-25 22:54:13,891"
!sens,zara2456,"2022-10-25 22:54:14,619"
aminuh,aoshiroj,"2022-10-25 22:54:22,692"
"Hey, are you following tarik on Twitter? http://twitter.com/tarik",fossabot,"2022-10-25 22:54:25,151"
peek KEKW,xdoritto,"2022-10-25 22:54:25,151"
!record,benwilliams1616,"2022-10-25 22:54:25,500"
AMENOOO,vallentiny,"2022-10-25 22:54:25,582"
Tarik has won 7 games and lost 5 games during this stream. (Data from tracker.gg),fossabot,"2022-10-25 22:54:26,090"
naked map,heyabbyy,"2022-10-25 22:54:27,258"
immuna imuuna,priy4nshu_,"2022-10-25 22:54:27,943"
hummina hummina,sgquickmath,"2022-10-25 22:54:29,625"
PauseChamp,lilsuboat,"2022-10-25 22:54:29,986"
HUH,sanchit47,"2022-10-25 22:54:30,963"
!rank,esl5k,"2022-10-25 22:54:31,048"
ACTION Tarik is Radiant #19 on the leaderboard with 44 wins and a Ranked Rating of 672 (Data from tracker.gg),fossabot,"2022-10-25 22:54:31,595"
who’s Trent playing?,sinfochan,"2022-10-25 22:54:32,881"
peepoArriveAndSALAMI peepoArriveAndSALAMI peepoArriveAndSALAMI peepoArriveAndSALAMI peepoArriveAndSALAMI,mrwick_18,"2022-10-25 22:54:38,865"
"oooh he's gutted
""
",aoshiroj,"2022-10-25 22:54:40,945"
PauseChamp,hhawke,"2022-10-25 22:54:43,900"
!followage tarik DrLupo,sloppybaconlover,"2022-10-25 22:54:45,594"
@sloppybaconlover tarik is not following DrLupo,fossabot,"2022-10-25 22:54:45,926"
Fade is Trent,docseal,"2022-10-25 22:54:46,884"
@mrwick_18 Binoculars,abchloeee,"2022-10-25 22:54:48,429"
L,hhawke,"2022-10-25 22:54:48,953"
OMEGALUL,kartoflu__,"2022-10-25 22:54:49,419"
HUH,axeterminate_,"2022-10-25 22:54:50,939"
WAYTOODANK,spyro_kai,"2022-10-25 22:54:52,822"
@sinfochan fade,jemosity,"2022-10-25 22:54:54,545"
"NEW YOUTUBE VIDEO TODAY - ""If we lose, I will never solo queue again..."" | SEN tarik - https://youtu.be/4zcVkXiPrz0",fossabot,"2022-10-25 22:54:54,672"
!record,prefix2k,"2022-10-25 22:54:58,170"
rakip isme bak hajfkjls,tinker10969,"2022-10-25 22:54:58,630"
Tarik has won 7 games and lost 5 games during this stream. (Data from tracker.gg),fossabot,"2022-10-25 22:54:58,941"
@sinfochan fade,morohedphase,"2022-10-25 22:54:59,356"
@abchloeee RatgeLurk,mrwick_18,"2022-10-25 22:55:00,050"
Sadeg,sloppybaconlover,"2022-10-25 22:55:00,820"
PepegaAim,coilofwrath,"2022-10-25 22:55:02,816"
LAG,aoshiroj,"2022-10-25 22:55:04,150"
?,espadaneovola,"2022-10-25 22:55:05,053"
BRIM LAGGING,heat001,"2022-10-25 22:55:05,374"
KEKYou,parz1val_ez,"2022-10-25 22:55:05,443"
did he lag there?,capski,"2022-10-25 22:55:06,221"
KEKW,kartoflu__,"2022-10-25 22:55:06,520"
KEKW,xdoritto,"2022-10-25 22:55:06,793"
KEKW,1_raj,"2022-10-25 22:55:07,084"
Tarik?,timmib0b,"2022-10-25 22:55:07,423"
lagging,shawn_qemp,"2022-10-25 22:55:07,710"
KEKW,saannyx,"2022-10-25 22:55:10,359"
@jemosity thank u,sinfochan,"2022-10-25 22:55:10,477"
Doubters,sloppybaconlover,"2022-10-25 22:55:10,635"
!RECORD,anything017,"2022-10-25 22:55:10,886"
Tarik has won 7 games and lost 5 games during this stream. (Data from tracker.gg),fossabot,"2022-10-25 22:55:11,458"
fo sho lagged there,fillst3r,"2022-10-25 22:55:11,965"
lay,sanaya__,"2022-10-25 22:55:13,146"
KEKW,aciryul,"2022-10-25 22:55:13,551"
lag,silxntis,"2022-10-25 22:55:13,881"
he lagged,hhawke,"2022-10-25 22:55:14,739"
Kappa,xdoritto,"2022-10-25 22:55:14,739"
LAGGGG,buttgrac,"2022-10-25 22:55:15,001"
COPIUM,bradbyr,"2022-10-25 22:55:15,345"
Pepega,inoh__,"2022-10-25 22:55:15,452"
true,seebooano,"2022-10-25 22:55:15,658"
noooo,not_moisty,"2022-10-25 22:55:15,815"
lag,xsemanntha,"2022-10-25 22:55:16,103"
Lag Kappa,azxl,"2022-10-25 22:55:16,444"
fake clutch KEKW,omegaknightsr,"2022-10-25 22:55:16,788"
KEKW,bobbyy19,"2022-10-25 22:55:17,853"
PepegaAim,inoh__,"2022-10-25 22:55:17,853"
lag?,kunalkumar16,"2022-10-25 22:55:18,648"
lagggggggggggggggggggggggggggggggggggggggggggg,nafizzzz,"2022-10-25 22:55:18,835"
LAG????,coolboysayshi,"2022-10-25 22:55:19,134"
laggg dw,sanaya__,"2022-10-25 22:55:19,216"
Lag,scrummywummy,"2022-10-25 22:55:19,364"
holy lag,mcguffies88,"2022-10-25 22:55:20,134"
experience,sloppybaconlover,"2022-10-25 22:55:20,341"
The lag mane,wcdarkish,"2022-10-25 22:55:20,425"
!playlist,xcrest4,"2022-10-25 22:55:20,499"
https://open.spotify.com/playlist/0laMrcolUwpmCxpNdSvjmI?si=5e321c6fdd25456e,fossabot,"2022-10-25 22:55:20,667"
KEKW,lyszaaaa,"2022-10-25 22:55:20,786"
lag,poopliker1584,"2022-10-25 22:55:20,963"
Kappa COPIUM Kappa,xdoritto,"2022-10-25 22:55:23,105"
Fade needs to go to bed fr,lilypilly02,"2022-10-25 22:55:23,178"
F,hllmi,"2022-10-25 22:55:23,178"
laggor?,eati,"2022-10-25 22:55:23,178"
lagg,oversizepotato00,"2022-10-25 22:55:23,178"
Laggggggggggg fffff,iambobbyd,"2022-10-25 22:55:23,178"
Lag tbh,electrofuzzz,"2022-10-25 22:55:23,178"
The lag is fucking you,kartoflu__,"2022-10-25 22:55:23,178"
op time,arandaa__,"2022-10-25 22:55:23,178"
lag,mohakgg,"2022-10-25 22:55:23,178"
